Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/4 10:10:16 am,RedZone,San Antonio Spurs,Charlotte Hornets,2.5,-148,-2.5,118,103,104,3.5,-3.5
3/4 10:10:01 am,RedZone,San Antonio Spurs,Charlotte Hornets,3.5,-106,-3.5,-117,103,104,3.5,-3.5
3/4 10:07:55 am,RedZone,San Antonio Spurs,Charlotte Hornets,6.5,-106,-6.5,-117,103,104,3.5,-3.5
3/4 10:07:20 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-112,-5.5,-112,103,104,3.5,-3.5
3/4 10:07:07 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,-105,-4.5,-118,103,104,3.5,-3.5
3/4 10:06:52 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,101,-4.5,-126,103,104,3.5,-3.5
3/4 10:06:42 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,-135,-4.5,107,103,104,3.5,-3.5
3/4 10:06:12 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,101,-4.5,-126,103,104,3.5,-3.5
3/4 10:05:59 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,-130,-4.5,104,103,104,3.5,-3.5
3/4 10:05:43 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,101,-5.5,-118,103,104,3.5,-3.5
3/4 10:05:34 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-101,-5.5,-116,103,104,3.5,-3.5
3/4 10:04:16 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-102,-5.5,-115,103,104,3.5,-3.5
3/4 10:04:15 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-101,-5.5,-115,103,104,3.5,-3.5
3/4 10:04:07 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-100,-5.5,-117,103,104,3.5,-3.5
3/4 10:04:00 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-100,-5.5,-117,103,104,3.5,-3.5
3/4 10:03:53 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-101,-5.5,-116,103,104,3.5,-3.5
3/4 10:03:52 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-101,-5.5,-115,103,104,3.5,-3.5
3/4 10:03:41 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-103,-5.5,-113,103,104,3.5,-3.5
3/4 10:03:36 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-103,-5.5,-113,103,104,3.5,-3.5
3/4 10:03:32 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-104,-5.5,-112,103,104,3.5,-3.5
3/4 10:03:30 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-105,-5.5,-112,103,104,3.5,-3.5
3/4 10:03:26 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-105,-5.5,-111,103,104,3.5,-3.5
3/4 10:03:20 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,100,-5.5,-117,103,104,3.5,-3.5
3/4 10:03:17 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,100,-5.5,-117,103,104,3.5,-3.5
3/4 10:03:15 am,Pinnacle,San Antonio Spurs,Charlotte Hornets,5.5,-100,-5.5,-117,103,104,3.5,-3.5
3/4 10:02:31 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-105,-5.5,-118,103,104,3.5,-3.5
3/4 10:02:12 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-112,-5.5,-112,103,104,3.5,-3.5
3/4 10:01:53 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-126,-5.5,101,103,104,3.5,-3.5
3/4 10:01:28 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,104,-4.5,-130,103,104,3.5,-3.5
3/4 10:01:02 am,RedZone,San Antonio Spurs,Charlotte Hornets,4.5,-126,-4.5,101,103,104,3.5,-3.5
3/4 10:00:43 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-105,-5.5,-118,103,104,3.5,-3.5
3/4 9:59:52 am,RedZone,San Antonio Spurs,Charlotte Hornets,6.5,-112,-6.5,-112,103,104,3.5,-3.5
3/4 9:59:19 am,RedZone,San Antonio Spurs,Charlotte Hornets,6.5,-130,-6.5,104,103,104,3.5,-3.5
3/4 9:59:11 am,RedZone,San Antonio Spurs,Charlotte Hornets,5.5,-112,-5.5,-112,103,104,3.5,-3.5
