Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/27 11:15:03 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-107,14.5,-109,102,98,-8,8
12/27 11:14:58 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-108,14.5,-108,102,98,-8,8
12/27 11:14:42 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-109,14.5,-107,102,98,-8,8
12/27 11:14:36 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-110,14.5,-106,102,98,-8,8
12/27 11:11:15 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-137,13.5,103,102,98,-8,8
12/27 11:11:01 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-116,13.5,-114,102,98,-8,8
12/27 11:10:42 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,103,14.5,-136,102,98,-8,8
12/27 11:10:39 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-109,14.5,-121,102,98,-8,8
12/27 11:10:15 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.5,-121,14.5,-109,102,98,-8,8
12/27 11:10:12 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-14.0,-116,14.0,-114,102,98,-8,8
12/27 11:10:10 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-112,13.5,-118,102,98,-8,8
12/27 11:10:07 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-118,13.5,-112,102,98,-8,8
12/27 11:10:04 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-106,13.5,-125,102,98,-8,8
12/27 11:09:51 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-12.0,-129,12.0,-102,102,98,-8,8
12/27 11:09:48 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-12.0,-107,12.0,-123,102,98,-8,8
12/27 11:09:36 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-12.0,-118,12.0,-112,102,98,-8,8
12/27 11:09:30 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-11.0,-142,11.0,107,102,98,-8,8
12/27 11:09:54 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-13.5,-117,13.5,-113,102,98,-8,8
12/27 11:09:25 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-11.0,-117,11.0,-113,102,98,-8,8
12/27 11:09:19 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-130,9.5,-102,102,98,-8,8
12/27 11:09:03 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-118,9.5,-112,102,98,-8,8
12/27 11:09:00 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-120,9.5,-111,102,98,-8,8
12/27 11:07:52 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-101,10.5,-116,102,98,-8,8
12/27 11:07:28 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,101,10.5,-118,102,98,-8,8
12/27 11:07:10 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-102,10.5,-115,102,98,-8,8
12/27 11:06:54 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-103,10.5,-114,102,98,-8,8
12/27 11:06:48 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-103,10.5,-113,102,98,-8,8
12/27 11:06:30 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-101,10.5,-116,102,98,-8,8
12/27 11:08:48 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-119,10.5,-111,102,98,-8,8
12/27 11:06:15 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-105,10.5,-111,102,98,-8,8
12/27 11:05:57 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-102,10.5,-114,102,98,-8,8
12/27 11:05:18 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-11.0,-118,11.0,-112,102,98,-8,8
12/27 11:05:16 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-133,9.5,101,102,98,-8,8
12/27 11:08:33 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.5,-102,10.5,-114,102,98,-8,8
12/27 11:05:06 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.5,-142,8.5,107,102,98,-8,8
12/27 11:05:00 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.5,-121,8.5,-109,102,98,-8,8
12/27 11:04:57 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-129,7.5,-102,102,98,-8,8
12/27 11:04:40 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-109,7.5,-122,102,98,-8,8
12/27 11:04:33 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-6.5,-118,6.5,-112,102,98,-8,8
12/27 11:05:12 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-121,9.5,-109,102,98,-8,8
12/27 11:04:13 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-116,7.5,-114,102,98,-8,8
12/27 11:03:54 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-127,7.5,-104,102,98,-8,8
12/27 11:03:43 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-126,7.5,-105,102,98,-8,8
12/27 11:03:36 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.0,-111,8.0,-120,102,98,-8,8
12/27 11:03:33 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.5,-109,8.5,-121,102,98,-8,8
12/27 11:03:30 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.0,116,9.0,-154,102,98,-8,8
12/27 11:03:28 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.0,106,9.0,-141,102,98,-8,8
12/27 11:03:25 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.0,-101,9.0,-131,102,98,-8,8
12/27 11:03:21 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.0,-113,9.0,-117,102,98,-8,8
12/27 11:03:15 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.0,-109,9.0,-121,102,98,-8,8
12/27 11:03:12 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-123,9.5,-107,102,98,-8,8
12/27 11:03:03 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-117,9.5,-113,102,98,-8,8
12/27 11:03:00 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-9.5,-118,9.5,-112,102,98,-8,8
12/27 11:02:58 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-10.0,-119,10.0,-111,102,98,-8,8
12/27 11:02:51 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.0,-119,8.0,-111,102,98,-8,8
12/27 11:02:45 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-130,7.5,-102,102,98,-8,8
12/27 11:02:30 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-109,7.5,-121,102,98,-8,8
12/27 11:02:18 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-7.5,-108,7.5,-122,102,98,-8,8
12/27 11:02:15 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-8.0,-115,8.0,-115,102,98,-8,8
12/27 11:02:03 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-6.0,-115,6.0,-115,102,98,-8,8
12/27 11:02:01 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-5.5,-111,5.5,-119,102,98,-8,8
12/27 11:00:43 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-6.5,102,6.5,-118,102,98,-8,8
12/27 11:00:33 am,Pinnacle,San Antonio Spurs,Dallas Mavericks,-6.5,102,6.5,-119,102,98,-8,8
