Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/11 12:13:14 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-108,6.5,-108,127,120,-6.5,6.5
2/11 12:13:07 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-110,6.5,-106,127,120,-6.5,6.5
2/11 12:13:00 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-112,6.5,-105,127,120,-6.5,6.5
2/11 12:12:50 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-121,6.5,103,127,120,-6.5,6.5
2/11 12:12:46 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-117,6.5,100,127,120,-6.5,6.5
2/11 12:12:41 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-113,6.5,-103,127,120,-6.5,6.5
2/11 12:12:38 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-124,6.5,106,127,120,-6.5,6.5
2/11 12:12:36 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-126,6.5,108,127,120,-6.5,6.5
2/11 12:12:31 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-116,6.5,-101,127,120,-6.5,6.5
2/11 12:12:26 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-115,6.5,-101,127,120,-6.5,6.5
2/11 12:12:22 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-109,6.5,-107,127,120,-6.5,6.5
2/11 12:12:14 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-113,6.5,-103,127,120,-6.5,6.5
2/11 12:12:12 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-114,6.5,-102,127,120,-6.5,6.5
2/11 12:12:07 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-6.5,-117,6.5,100,127,120,-6.5,6.5
2/11 12:07:08 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-102,-1.5,-130,127,120,-6.5,6.5
2/11 12:07:03 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-108,-1.5,-122,127,120,-6.5,6.5
2/11 12:06:53 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-109,-2.0,-122,127,120,-6.5,6.5
2/11 12:06:44 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-102,-2.0,-130,127,120,-6.5,6.5
2/11 12:06:38 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-108,-2.0,-122,127,120,-6.5,6.5
2/11 12:06:35 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-114,-1.5,-116,127,120,-6.5,6.5
2/11 12:06:29 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-116,-1.5,-114,127,120,-6.5,6.5
2/11 12:06:26 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-110,-1.5,-120,127,120,-6.5,6.5
2/11 12:06:19 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-116,-1.5,-114,127,120,-6.5,6.5
2/11 12:06:11 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-108,-1.5,-122,127,120,-6.5,6.5
2/11 12:06:05 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-112,-1.5,-118,127,120,-6.5,6.5
2/11 12:05:50 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-114,-1.5,-116,127,120,-6.5,6.5
2/11 12:05:29 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-113,-2.0,-117,127,120,-6.5,6.5
2/11 12:03:46 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-108,-2.0,-108,127,120,-6.5,6.5
2/11 12:03:41 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-108,-2.0,-108,127,120,-6.5,6.5
2/11 12:02:52 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-113,-2.0,-103,127,120,-6.5,6.5
2/11 12:02:47 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-113,-2.0,-104,127,120,-6.5,6.5
2/11 12:02:44 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,2.0,-112,-2.0,-104,127,120,-6.5,6.5
2/11 12:02:32 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,107,-1.5,-142,127,120,-6.5,6.5
2/11 12:02:27 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,1.5,-109,-1.5,-121,127,120,-6.5,6.5
2/11 12:02:14 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-1.0,-111,1.0,-119,127,120,-6.5,6.5
2/11 12:02:11 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-2.0,-111,2.0,-119,127,120,-6.5,6.5
2/11 12:02:04 pm,Pinnacle,San Antonio Spurs,Denver Nuggets,-2.0,-117,2.0,-113,127,120,-6.5,6.5
