Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/2 12:46:19 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-103,-18.5,-113,110,127,7,-7
11/2 12:46:10 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-104,-18.5,-112,110,127,7,-7
11/2 12:46:08 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-101,-18.5,-116,110,127,7,-7
11/2 12:46:04 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,100,-18.5,-117,110,127,7,-7
11/2 12:45:59 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-108,-18.5,-108,110,127,7,-7
11/2 12:45:56 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-113,-18.5,-104,110,127,7,-7
11/2 12:45:43 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-112,-18.5,-104,110,127,7,-7
11/2 12:45:41 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-117,-18.5,101,110,127,7,-7
11/2 12:45:08 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,18.5,-116,-18.5,-101,110,127,7,-7
11/2 12:41:11 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-108,-17.0,-108,110,127,7,-7
11/2 12:41:01 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-107,-17.0,-110,110,127,7,-7
11/2 12:40:50 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-108,-17.0,-108,110,127,7,-7
11/2 12:40:41 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-107,-17.0,-109,110,127,7,-7
11/2 12:40:32 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-106,-17.0,-110,110,127,7,-7
11/2 12:40:23 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-105,-17.0,-111,110,127,7,-7
11/2 12:40:01 pm,Pinnacle,San Antonio Spurs,Golden State Warriors,17.0,-107,-17.0,-109,110,127,7,-7
