Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/24 11:08:28 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-101,-23.5,-116,115,145,1,-1
12/24 11:08:12 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-100,-23.5,-117,115,145,1,-1
12/24 11:07:51 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-103,-23.5,-113,115,145,1,-1
12/24 11:07:46 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-105,-23.5,-111,115,145,1,-1
12/24 11:07:36 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-113,-23.5,-103,115,145,1,-1
12/24 11:07:25 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,23.5,-117,-23.5,100,115,145,1,-1
12/24 10:59:42 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.0,-118,-12.0,101,115,145,1,-1
12/24 10:58:30 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.0,-120,-12.0,103,115,145,1,-1
12/24 10:58:25 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.0,-114,-12.0,-102,115,145,1,-1
12/24 10:57:58 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.0,-123,-12.0,-108,115,145,1,-1
12/24 10:57:52 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.0,-122,-12.0,-109,115,145,1,-1
12/24 10:57:42 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.5,-110,-12.5,-120,115,145,1,-1
12/24 10:57:39 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,12.5,-113,-12.5,-117,115,145,1,-1
12/24 10:57:21 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,13.5,-127,-13.5,-104,115,145,1,-1
12/24 10:57:18 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,13.5,-119,-13.5,-112,115,145,1,-1
12/24 10:57:15 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,13.5,105,-13.5,-139,115,145,1,-1
12/24 10:57:10 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,13.5,-110,-13.5,-120,115,145,1,-1
12/24 10:57:06 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-139,-15.5,105,115,145,1,-1
12/24 10:57:04 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-121,-15.5,-109,115,145,1,-1
12/24 10:56:58 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,16.5,-157,-16.5,118,115,145,1,-1
12/24 10:56:54 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,16.5,-128,-16.5,-103,115,145,1,-1
12/24 10:56:52 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,16.5,-120,-16.5,-110,115,145,1,-1
12/24 10:56:48 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-112,-15.5,-118,115,145,1,-1
12/24 10:56:39 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-119,-15.5,-111,115,145,1,-1
12/24 10:56:30 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,14.5,-119,-14.5,-111,115,145,1,-1
12/24 10:56:28 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,14.0,-120,-14.0,-110,115,145,1,-1
12/24 10:56:24 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,13.5,-120,-13.5,-110,115,145,1,-1
12/24 10:56:13 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,14.5,-108,-14.5,-122,115,145,1,-1
12/24 10:56:07 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.0,-121,-15.0,-110,115,145,1,-1
12/24 10:55:46 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.0,-110,-15.0,-120,115,145,1,-1
12/24 10:55:40 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-141,-15.5,106,115,145,1,-1
12/24 10:55:34 am,Pinnacle,San Antonio Spurs,Memphis Grizzlies,15.5,-123,-15.5,-108,115,145,1,-1
