Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/5 11:45:16 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,129,17.0,-151,127,118,-11,11
1/5 11:44:54 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,137,17.0,-161,127,118,-11,11
1/5 11:43:45 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,126,17.0,-148,127,118,-11,11
1/5 11:43:42 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,117,17.0,-137,127,118,-11,11
1/5 11:43:36 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,108,17.0,-126,127,118,-11,11
1/5 11:43:12 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,107,17.0,-125,127,118,-11,11
1/5 11:43:03 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,101,17.0,-118,127,118,-11,11
1/5 11:42:57 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,-106,17.0,-110,127,118,-11,11
1/5 11:42:21 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-17.0,-103,17.0,-113,127,118,-11,11
1/5 11:37:54 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-15.0,-114,15.0,-116,127,118,-11,11
1/5 11:37:51 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.5,-108,13.5,-122,127,118,-11,11
1/5 11:37:39 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,-123,12.0,-108,127,118,-11,11
1/5 11:37:36 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.5,-109,13.5,-121,127,118,-11,11
1/5 11:37:28 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.0,-115,13.0,-115,127,118,-11,11
1/5 11:37:21 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.0,-114,13.0,-116,127,118,-11,11
1/5 11:37:15 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.0,-111,13.0,-119,127,118,-11,11
1/5 11:37:12 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-13.0,-111,13.0,-119,127,118,-11,11
1/5 11:36:40 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.5,-115,12.5,-115,127,118,-11,11
1/5 11:36:36 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-11.5,-113,11.5,-117,127,118,-11,11
1/5 11:36:30 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,106,12.0,-124,127,118,-11,11
1/5 11:36:00 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,107,12.0,-125,127,118,-11,11
1/5 11:35:33 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,106,12.0,-124,127,118,-11,11
1/5 11:35:21 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,107,12.0,-125,127,118,-11,11
1/5 11:35:06 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,103,12.0,-120,127,118,-11,11
1/5 11:34:33 am,Pinnacle,San Antonio Spurs,Milwaukee Bucks,-12.0,100,12.0,-117,127,118,-11,11
