Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/24 10:48:06 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,122,-8.5,-143,104,111,3,-3
11/24 10:47:58 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,118,-8.5,-138,104,111,3,-3
11/24 10:47:51 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,110,-8.5,-129,104,111,3,-3
11/24 10:47:40 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,109,-8.5,-127,104,111,3,-3
11/24 10:47:34 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,104,-8.5,-122,104,111,3,-3
11/24 10:47:28 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,101,-8.5,-118,104,111,3,-3
11/24 10:47:18 am,Pinnacle,San Antonio Spurs,New York Knicks,8.5,-101,-8.5,-115,104,111,3,-3
11/24 10:34:43 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-108,-14.5,-108,104,111,3,-3
11/24 10:34:41 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-107,-14.5,-109,104,111,3,-3
11/24 10:34:01 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-108,-14.5,-108,104,111,3,-3
11/24 10:33:59 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-106,-14.5,-110,104,111,3,-3
11/24 10:33:56 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-112,-14.5,-104,104,111,3,-3
11/24 10:33:46 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-114,-14.5,-103,104,111,3,-3
11/24 10:33:17 am,Pinnacle,San Antonio Spurs,New York Knicks,14.5,-120,-14.5,-111,104,111,3,-3
11/24 10:33:12 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-111,-15.0,-119,104,111,3,-3
11/24 10:32:52 am,Pinnacle,San Antonio Spurs,New York Knicks,16.0,-110,-16.0,-120,104,111,3,-3
11/24 10:32:49 am,Pinnacle,San Antonio Spurs,New York Knicks,16.0,-119,-16.0,-111,104,111,3,-3
11/24 10:32:44 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-121,-17.0,-109,104,111,3,-3
11/24 10:32:40 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-119,-17.0,-111,104,111,3,-3
11/24 10:32:31 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-120,-17.0,-110,104,111,3,-3
11/24 10:32:28 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-105,-15.0,-127,104,111,3,-3
11/24 10:32:22 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-112,-15.0,-118,104,111,3,-3
11/24 10:32:19 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-110,-15.0,-120,104,111,3,-3
11/24 10:32:10 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-109,-15.0,-121,104,111,3,-3
11/24 10:32:04 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-122,-17.0,-109,104,111,3,-3
11/24 10:32:01 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-121,-17.0,-110,104,111,3,-3
11/24 10:31:58 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-113,-17.0,-117,104,111,3,-3
11/24 10:31:44 am,Pinnacle,San Antonio Spurs,New York Knicks,16.0,-113,-16.0,-117,104,111,3,-3
11/24 10:31:40 am,Pinnacle,San Antonio Spurs,New York Knicks,15.0,-116,-15.0,-114,104,111,3,-3
11/24 10:31:10 am,Pinnacle,San Antonio Spurs,New York Knicks,16.5,-123,-16.5,-108,104,111,3,-3
11/24 10:31:02 am,Pinnacle,San Antonio Spurs,New York Knicks,16.5,-115,-16.5,-115,104,111,3,-3
11/24 10:30:43 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-129,-17.0,-103,104,111,3,-3
11/24 10:30:31 am,Pinnacle,San Antonio Spurs,New York Knicks,17.0,-124,-17.0,-107,104,111,3,-3
11/24 10:30:29 am,Pinnacle,San Antonio Spurs,New York Knicks,18.0,-121,-18.0,-109,104,111,3,-3
11/24 10:30:16 am,Pinnacle,San Antonio Spurs,New York Knicks,17.5,-118,-17.5,-112,104,111,3,-3
11/24 10:30:05 am,Pinnacle,San Antonio Spurs,New York Knicks,18.0,-109,-18.0,-121,104,111,3,-3
