Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/12 11:10:33 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-102,-5.0,-115,106,114,-8,8
2/12 11:10:22 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-102,-5.0,-114,106,114,-8,8
2/12 11:09:08 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,107,-5.0,-125,106,114,-8,8
2/12 11:08:29 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,106,-5.0,-123,106,114,-8,8
2/12 11:08:18 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-100,-5.0,-117,106,114,-8,8
2/12 11:08:05 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-101,-5.0,-115,106,114,-8,8
2/12 11:06:34 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,6.5,-115,-6.5,-115,106,114,-8,8
2/12 11:06:22 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.5,-117,-5.5,-113,106,114,-8,8
2/12 11:06:14 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-124,-5.0,-107,106,114,-8,8
2/12 11:06:04 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,4.5,-107,-4.5,-124,106,114,-8,8
2/12 11:05:49 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,4.5,-107,-4.5,-124,106,114,-8,8
2/12 11:05:46 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-124,-5.0,-107,106,114,-8,8
2/12 11:05:31 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-122,-5.0,-109,106,114,-8,8
2/12 11:05:30 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,5.0,-122,-5.0,-108,106,114,-8,8
2/12 11:05:21 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,4.5,-107,-4.5,-124,106,114,-8,8
2/12 11:05:18 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,3.5,-112,-3.5,-118,106,114,-8,8
2/12 11:05:09 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,3.5,-113,-3.5,-117,106,114,-8,8
2/12 11:05:06 am,Pinnacle,San Antonio Spurs,Oklahoma City Thunder,4.5,-115,-4.5,-115,106,114,-8,8
