Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/7 1:05:48 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-101,7.0,-116,125,117,-3.5,3.5
2/7 1:05:16 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-104,7.0,-112,125,117,-3.5,3.5
2/7 1:05:04 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-107,7.0,-109,125,117,-3.5,3.5
2/7 1:04:58 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-108,7.0,-108,125,117,-3.5,3.5
2/7 1:04:49 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-102,7.0,-114,125,117,-3.5,3.5
2/7 1:04:15 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-107,7.0,-109,125,117,-3.5,3.5
2/7 1:04:08 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-7.0,-108,7.0,-108,125,117,-3.5,3.5
2/7 1:00:00 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-113,5.5,-117,125,117,-3.5,3.5
2/7 12:59:57 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-114,5.5,-116,125,117,-3.5,3.5
2/7 12:59:54 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-107,5.5,-109,125,117,-3.5,3.5
2/7 12:59:28 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-103,5.5,-113,125,117,-3.5,3.5
2/7 12:58:57 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-102,5.5,-114,125,117,-3.5,3.5
2/7 12:58:54 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-103,5.5,-113,125,117,-3.5,3.5
2/7 12:58:46 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-102,5.5,-115,125,117,-3.5,3.5
2/7 12:58:22 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-103,5.5,-114,125,117,-3.5,3.5
2/7 12:58:07 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-105,5.5,-111,125,117,-3.5,3.5
2/7 12:58:00 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-100,5.5,-116,125,117,-3.5,3.5
2/7 12:57:48 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,104,5.5,-122,125,117,-3.5,3.5
2/7 12:57:31 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-102,5.5,-115,125,117,-3.5,3.5
2/7 12:57:15 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-107,5.5,-109,125,117,-3.5,3.5
2/7 12:57:12 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-113,5.5,-103,125,117,-3.5,3.5
2/7 12:57:10 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-5.5,-113,5.5,-103,125,117,-3.5,3.5
2/7 12:57:04 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-6.0,-101,6.0,-116,125,117,-3.5,3.5
2/7 12:56:54 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-6.0,-107,6.0,-124,125,117,-3.5,3.5
2/7 12:56:51 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-4.5,-107,4.5,-124,125,117,-3.5,3.5
2/7 12:56:45 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-4.0,-123,4.0,-108,125,117,-3.5,3.5
2/7 12:56:42 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-3.0,-124,3.0,-107,125,117,-3.5,3.5
2/7 12:56:25 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-3.5,-107,3.5,-123,125,117,-3.5,3.5
2/7 12:56:22 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.0,-112,2.0,-118,125,117,-3.5,3.5
2/7 12:56:03 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-109,1.0,-121,125,117,-3.5,3.5
2/7 12:55:51 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-108,1.0,-122,125,117,-3.5,3.5
2/7 12:55:45 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-108,1.0,-123,125,117,-3.5,3.5
2/7 12:55:42 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-108,1.0,-122,125,117,-3.5,3.5
2/7 12:55:37 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-104,1.0,-128,125,117,-3.5,3.5
2/7 12:55:34 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.0,-108,2.0,-123,125,117,-3.5,3.5
2/7 12:55:21 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-1.0,-105,1.0,-127,125,117,-3.5,3.5
2/7 12:55:15 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.0,-110,2.0,-120,125,117,-3.5,3.5
2/7 12:55:13 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.0,-110,2.0,-120,125,117,-3.5,3.5
2/7 12:54:58 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.0,-112,2.0,-118,125,117,-3.5,3.5
2/7 12:54:45 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.5,-114,2.5,-116,125,117,-3.5,3.5
2/7 12:54:24 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.5,-114,2.5,-116,125,117,-3.5,3.5
2/7 12:54:19 pm,Pinnacle,San Antonio Spurs,Portland Trail Blazers,-2.5,-116,2.5,-114,125,117,-3.5,3.5
