Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/9 1:09:27 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-122,14.5,104,122,102,2,-2
2/9 1:09:11 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-125,14.5,107,122,102,2,-2
2/9 1:08:44 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-129,14.5,110,122,102,2,-2
2/9 1:08:35 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-125,14.5,107,122,102,2,-2
2/9 1:07:56 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-118,14.5,101,122,102,2,-2
2/9 1:07:21 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-117,14.5,100,122,102,2,-2
2/9 1:07:17 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-116,14.5,-101,122,102,2,-2
2/9 1:07:11 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-117,14.5,-100,122,102,2,-2
2/9 1:06:56 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-14.5,-108,14.5,-108,122,102,2,-2
2/9 12:58:17 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-11.5,-138,11.5,104,122,102,2,-2
2/9 12:58:06 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-11.5,-118,11.5,-112,122,102,2,-2
2/9 12:57:59 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-11.0,-116,11.0,-114,122,102,2,-2
2/9 12:57:50 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.5,-142,10.5,107,122,102,2,-2
2/9 12:57:44 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.5,-120,10.5,-110,122,102,2,-2
2/9 12:57:17 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.5,-121,10.5,-109,122,102,2,-2
2/9 12:57:14 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.0,-124,10.0,-107,122,102,2,-2
2/9 12:57:09 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.0,-107,10.0,-124,122,102,2,-2
2/9 12:56:59 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-10.0,-115,10.0,-115,122,102,2,-2
2/9 12:56:47 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-9.0,-113,9.0,-118,122,102,2,-2
2/9 12:56:35 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-8.5,-141,8.5,106,122,102,2,-2
2/9 12:56:32 pm,Pinnacle,San Antonio Spurs,Sacramento Kings,-8.5,-130,8.5,-102,122,102,2,-2
