Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/21 9:47:40 am,Pinnacle,San Antonio Spurs,Washington Wizards,-2.5,-102,2.5,-115,138,132,2,-2
11/21 9:47:37 am,Pinnacle,San Antonio Spurs,Washington Wizards,-2.5,-107,2.5,-109,138,132,2,-2
11/21 8:06:41 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-102,-2.0,-108,138,132,2,-2
11/21 8:06:28 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-103,-2.0,-107,138,132,2,-2
11/21 8:03:40 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-102,-2.0,-108,138,132,2,-2
11/21 8:02:43 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-103,-2.0,-108,138,132,2,-2
11/21 8:01:22 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-101,-2.0,-109,138,132,2,-2
11/21 7:59:43 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-102,-2.0,-108,138,132,2,-2
11/21 7:59:31 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-101,-2.0,-109,138,132,2,-2
11/21 7:59:16 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-100,-2.0,-110,138,132,2,-2
11/21 7:59:04 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-102,-2.0,-109,138,132,2,-2
11/21 7:58:46 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-104,-2.0,-106,138,132,2,-2
11/21 7:58:37 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-107,-2.0,-103,138,132,2,-2
11/21 7:55:13 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-106,-2.0,-104,138,132,2,-2
11/21 7:49:19 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-105,-2.0,-105,138,132,2,-2
11/21 7:42:10 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-102,-2.0,-108,138,132,2,-2
11/21 7:41:25 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-101,-2.0,-110,138,132,2,-2
11/21 7:41:00 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-106,-2.0,-104,138,132,2,-2
11/21 7:33:47 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-107,-2.0,-103,138,132,2,-2
11/21 7:20:16 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-106,-2.0,-104,138,132,2,-2
11/21 7:13:13 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-107,-2.0,-103,138,132,2,-2
11/21 7:10:10 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-107,-2.0,-104,138,132,2,-2
11/21 6:55:19 am,Pinnacle,San Antonio Spurs,Washington Wizards,2.0,-106,-2.0,-104,138,132,2,-2
