Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 10:10:32 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-117,-12.5,100,97,113,-7,7
12/29 10:10:23 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-119,-12.5,102,97,113,-7,7
12/29 10:10:08 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-124,-12.5,106,97,113,-7,7
12/29 10:09:59 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-129,-12.5,110,97,113,-7,7
12/29 10:09:29 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-129,-12.5,111,97,113,-7,7
12/29 10:08:44 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-116,-12.5,-101,97,113,-7,7
12/29 10:08:29 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-115,-12.5,-101,97,113,-7,7
12/29 10:08:20 am,Pinnacle,Toronto Raptors,Boston Celtics,12.5,-114,-12.5,-103,97,113,-7,7
12/29 10:06:50 am,Pinnacle,Toronto Raptors,Boston Celtics,10.0,-109,-10.0,-121,97,113,-7,7
12/29 10:06:47 am,Pinnacle,Toronto Raptors,Boston Celtics,9.5,-112,-9.5,-118,97,113,-7,7
12/29 10:06:44 am,Pinnacle,Toronto Raptors,Boston Celtics,9.5,-121,-9.5,-110,97,113,-7,7
12/29 10:06:38 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-147,-10.5,111,97,113,-7,7
12/29 10:06:37 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-134,-10.5,101,97,113,-7,7
12/29 10:06:30 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-121,-10.5,-109,97,113,-7,7
12/29 10:06:24 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-123,-10.5,-108,97,113,-7,7
12/29 10:06:14 am,Pinnacle,Toronto Raptors,Boston Celtics,11.0,-111,-11.0,-119,97,113,-7,7
12/29 10:06:11 am,Pinnacle,Toronto Raptors,Boston Celtics,11.0,-127,-11.0,-104,97,113,-7,7
12/29 10:06:06 am,Pinnacle,Toronto Raptors,Boston Celtics,11.0,-114,-11.0,-116,97,113,-7,7
12/29 10:05:51 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-107,-9.0,-124,97,113,-7,7
12/29 10:05:48 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-126,-9.0,-105,97,113,-7,7
12/29 10:05:41 am,Pinnacle,Toronto Raptors,Boston Celtics,8.5,104,-8.5,-138,97,113,-7,7
12/29 10:05:33 am,Pinnacle,Toronto Raptors,Boston Celtics,8.5,-115,-8.5,-115,97,113,-7,7
12/29 10:06:09 am,Pinnacle,Toronto Raptors,Boston Celtics,11.0,-123,-11.0,-108,97,113,-7,7
12/29 10:05:05 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-114,-9.0,-116,97,113,-7,7
12/29 10:04:59 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-116,-9.0,-114,97,113,-7,7
12/29 10:04:54 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-119,-9.0,-111,97,113,-7,7
12/29 10:04:51 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-104,-9.0,-127,97,113,-7,7
12/29 10:04:47 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-112,-9.0,-118,97,113,-7,7
12/29 10:04:35 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-108,-9.0,-122,97,113,-7,7
12/29 10:04:33 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-140,-10.5,105,97,113,-7,7
12/29 10:04:30 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-127,-10.5,-104,97,113,-7,7
12/29 10:04:26 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-115,-10.5,-115,97,113,-7,7
12/29 10:04:20 am,Pinnacle,Toronto Raptors,Boston Celtics,11.0,-125,-11.0,-106,97,113,-7,7
12/29 10:04:15 am,Pinnacle,Toronto Raptors,Boston Celtics,10.0,-110,-10.0,-120,97,113,-7,7
12/29 10:04:12 am,Pinnacle,Toronto Raptors,Boston Celtics,10.0,-124,-10.0,-107,97,113,-7,7
12/29 10:04:05 am,Pinnacle,Toronto Raptors,Boston Celtics,10.5,-108,-10.5,-123,97,113,-7,7
12/29 10:03:38 am,Pinnacle,Toronto Raptors,Boston Celtics,9.0,-124,-9.0,-107,97,113,-7,7
12/29 10:03:30 am,Pinnacle,Toronto Raptors,Boston Celtics,8.0,-117,-8.0,-113,97,113,-7,7
12/29 10:03:21 am,Pinnacle,Toronto Raptors,Boston Celtics,7.0,-110,-7.0,-120,97,113,-7,7
12/29 10:03:14 am,Pinnacle,Toronto Raptors,Boston Celtics,8.0,-116,-8.0,-114,97,113,-7,7
