Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/13 10:40:41 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.5,-126,10.5,108,101,91,4,-4
2/13 10:40:14 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.5,-125,10.5,107,101,91,4,-4
2/13 10:39:57 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.5,-120,10.5,103,101,91,4,-4
2/13 10:39:29 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.5,-118,10.5,101,101,91,4,-4
2/13 10:39:03 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.5,-117,10.5,100,101,91,4,-4
2/13 10:38:56 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.0,-117,10.0,100,101,91,4,-4
2/13 10:33:48 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-8.5,-111,8.5,-119,101,91,4,-4
2/13 10:33:32 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-7.0,-124,7.0,-107,101,91,4,-4
2/13 10:33:08 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-8.0,-123,8.0,-107,101,91,4,-4
2/13 10:33:06 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.5,-123,9.5,-107,101,91,4,-4
2/13 10:32:21 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.5,-121,9.5,-109,101,91,4,-4
2/13 10:32:18 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.5,-121,9.5,-109,101,91,4,-4
2/13 10:31:59 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-114,9.0,-116,101,91,4,-4
2/13 10:30:23 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-103,9.0,-113,101,91,4,-4
2/13 10:29:39 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-104,9.0,-112,101,91,4,-4
2/13 10:29:17 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-109,9.0,-107,101,91,4,-4
2/13 10:29:05 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-106,9.0,-110,101,91,4,-4
2/13 10:28:59 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-114,9.0,-116,101,91,4,-4
2/13 10:28:38 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-8.0,-108,8.0,-123,101,91,4,-4
2/13 10:28:33 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-110,9.0,-121,101,91,4,-4
2/13 10:28:08 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-111,9.0,-119,101,91,4,-4
2/13 10:27:53 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.0,-111,9.0,-119,101,91,4,-4
2/13 10:27:33 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-9.5,-112,9.5,-118,101,91,4,-4
2/13 10:27:17 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-8.5,-122,8.5,-109,101,91,4,-4
2/13 10:27:14 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-7.5,-126,7.5,-105,101,91,4,-4
2/13 10:27:11 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-7.5,-117,7.5,-113,101,91,4,-4
2/13 10:26:51 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-7.5,-117,7.5,-113,101,91,4,-4
2/13 10:26:29 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-8.5,-117,8.5,-113,101,91,4,-4
2/13 10:26:15 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.0,-116,10.0,-114,101,91,4,-4
2/13 10:26:12 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-10.0,-115,10.0,-115,101,91,4,-4
2/13 10:26:09 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-11.0,-119,11.0,-111,101,91,4,-4
2/13 10:25:51 am,Pinnacle,Toronto Raptors,Brooklyn Nets,-11.0,-121,11.0,-109,101,91,4,-4
