Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/9 10:32:04 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,333,0.0,-420,110,112,2.5,-2.5
1/9 10:32:01 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,328,0.0,-413,110,112,2.5,-2.5
1/9 10:31:55 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,331,0.0,-416,110,112,2.5,-2.5
1/9 10:31:46 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,337,0.0,-425,110,112,2.5,-2.5
1/9 10:28:07 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,115,0.0,-134,110,112,2.5,-2.5
1/9 10:26:37 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,120,0.0,-140,110,112,2.5,-2.5
1/9 10:26:19 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,118,0.0,-138,110,112,2.5,-2.5
1/9 10:25:43 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,116,0.0,-136,110,112,2.5,-2.5
1/9 10:25:31 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,120,0.0,-140,110,112,2.5,-2.5
1/9 10:21:46 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,141,0.0,-166,110,112,2.5,-2.5
1/9 10:21:42 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,136,0.0,-160,110,112,2.5,-2.5
1/9 10:21:40 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,139,0.0,-163,110,112,2.5,-2.5
1/9 10:21:28 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,140,0.0,-165,110,112,2.5,-2.5
1/9 10:21:22 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,142,0.0,-167,110,112,2.5,-2.5
1/9 10:21:19 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,132,0.0,-155,110,112,2.5,-2.5
1/9 10:21:15 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,123,0.0,-144,110,112,2.5,-2.5
1/9 10:20:45 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,121,0.0,-141,110,112,2.5,-2.5
1/9 10:20:34 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,111,0.0,-130,110,112,2.5,-2.5
1/9 10:20:27 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,110,0.0,-129,110,112,2.5,-2.5
1/9 10:20:24 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,735,0.0,-1129,110,112,2.5,-2.5
1/9 10:15:30 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-135,0.0,115,110,112,2.5,-2.5
1/9 10:15:25 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-138,0.0,118,110,112,2.5,-2.5
1/9 10:15:19 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-139,0.0,119,110,112,2.5,-2.5
1/9 10:15:01 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-136,0.0,117,110,112,2.5,-2.5
1/9 10:14:37 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-152,0.0,130,110,112,2.5,-2.5
1/9 10:14:21 am,Pinnacle,Toronto Raptors,Charlotte Hornets,0.0,-155,0.0,132,110,112,2.5,-2.5
1/9 10:08:34 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-123,8.0,105,110,112,2.5,-2.5
1/9 10:08:28 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-110,8.0,-106,110,112,2.5,-2.5
1/9 10:07:49 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-109,8.0,-107,110,112,2.5,-2.5
1/9 10:07:31 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-111,8.0,-106,110,112,2.5,-2.5
1/9 10:07:22 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-112,8.0,-105,110,112,2.5,-2.5
1/9 10:07:12 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-111,8.0,-105,110,112,2.5,-2.5
1/9 10:07:06 am,Pinnacle,Toronto Raptors,Charlotte Hornets,-8.0,-107,8.0,-109,110,112,2.5,-2.5
