Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/8 11:23:47 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,113,-8.5,-132,106,115,-1,1
2/8 11:23:34 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,115,-8.5,-135,106,115,-1,1
2/8 11:23:28 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,117,-8.5,-137,106,115,-1,1
2/8 11:23:19 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,106,-8.5,-124,106,115,-1,1
2/8 11:22:58 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,105,-8.5,-123,106,115,-1,1
2/8 11:22:48 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,104,-8.5,-121,106,115,-1,1
2/8 11:22:38 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.5,-108,-8.5,-108,106,115,-1,1
2/8 11:19:16 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,102,-8.0,-119,106,115,-1,1
2/8 11:19:10 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,-104,-8.0,-112,106,115,-1,1
2/8 11:18:59 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,-107,-8.0,-109,106,115,-1,1
2/8 11:18:55 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,-114,-8.0,-102,106,115,-1,1
2/8 11:18:35 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,-117,-8.0,-100,106,115,-1,1
2/8 11:18:22 am,Pinnacle,Toronto Raptors,Indiana Pacers,8.0,-116,-8.0,-101,106,115,-1,1
2/8 11:14:37 am,Pinnacle,Toronto Raptors,Indiana Pacers,5.0,-108,-5.0,-108,106,115,-1,1
2/8 11:14:23 am,Pinnacle,Toronto Raptors,Indiana Pacers,5.0,-114,-5.0,-116,106,115,-1,1
2/8 11:14:05 am,Pinnacle,Toronto Raptors,Indiana Pacers,5.0,-114,-5.0,-116,106,115,-1,1
2/8 11:12:49 am,Pinnacle,Toronto Raptors,Indiana Pacers,5.0,-113,-5.0,-118,106,115,-1,1
2/8 11:11:59 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-117,-4.0,-113,106,115,-1,1
2/8 11:11:56 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-116,-4.0,-114,106,115,-1,1
2/8 11:11:53 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-116,-4.0,-114,106,115,-1,1
2/8 11:11:16 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-115,-4.0,-115,106,115,-1,1
2/8 11:10:40 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-108,-4.0,-108,106,115,-1,1
2/8 11:10:31 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-109,-4.0,-107,106,115,-1,1
2/8 11:10:19 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:10:06 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:09:55 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:09:22 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:08:58 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:08:34 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:08:20 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-113,106,115,-1,1
2/8 11:08:01 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:07:56 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:07:53 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-104,-4.0,-112,106,115,-1,1
2/8 11:07:45 am,Pinnacle,Toronto Raptors,Indiana Pacers,4.0,-111,-4.0,-120,106,115,-1,1
