Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/3 10:39:16 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-111,9.5,-106,84,76,-4.5,4.5
1/3 10:39:10 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-110,9.5,-106,84,76,-4.5,4.5
1/3 10:38:07 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-108,9.5,-108,84,76,-4.5,4.5
1/3 10:32:37 am,Pinnacle,Toronto Raptors,Miami Heat,-7.0,-110,7.0,-107,84,76,-4.5,4.5
1/3 10:32:10 am,Pinnacle,Toronto Raptors,Miami Heat,-7.0,-111,7.0,-106,84,76,-4.5,4.5
1/3 10:31:50 am,Pinnacle,Toronto Raptors,Miami Heat,-7.0,-110,7.0,-106,84,76,-4.5,4.5
1/3 10:31:46 am,Pinnacle,Toronto Raptors,Miami Heat,-7.0,-113,7.0,-104,84,76,-4.5,4.5
1/3 10:31:01 am,Pinnacle,Toronto Raptors,Miami Heat,-7.0,-110,7.0,-106,84,76,-4.5,4.5
1/3 10:29:47 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-107,8.0,-123,84,76,-4.5,4.5
1/3 10:29:29 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-108,9.5,-122,84,76,-4.5,4.5
1/3 10:28:55 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-111,9.5,-119,84,76,-4.5,4.5
1/3 10:28:54 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-112,8.5,-118,84,76,-4.5,4.5
1/3 10:28:53 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-123,8.0,-108,84,76,-4.5,4.5
1/3 10:28:52 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-112,8.5,-118,84,76,-4.5,4.5
1/3 10:28:50 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-122,8.0,-108,84,76,-4.5,4.5
1/3 10:28:46 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-112,8.5,-118,84,76,-4.5,4.5
1/3 10:28:45 am,Pinnacle,Toronto Raptors,Miami Heat,-9.0,-121,9.0,-109,84,76,-4.5,4.5
1/3 10:28:42 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-109,9.5,-121,84,76,-4.5,4.5
1/3 10:28:40 am,Pinnacle,Toronto Raptors,Miami Heat,-9.0,-121,9.0,-109,84,76,-4.5,4.5
1/3 10:28:37 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-109,9.5,-121,84,76,-4.5,4.5
1/3 10:28:34 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-109,9.5,-121,84,76,-4.5,4.5
1/3 10:28:33 am,Pinnacle,Toronto Raptors,Miami Heat,-9.0,-121,9.0,-109,84,76,-4.5,4.5
1/3 10:28:28 am,Pinnacle,Toronto Raptors,Miami Heat,-9.5,-109,9.5,-121,84,76,-4.5,4.5
1/3 10:28:27 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-107,8.5,-123,84,76,-4.5,4.5
1/3 10:28:24 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
1/3 10:28:23 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-123,8.0,-108,84,76,-4.5,4.5
1/3 10:28:36 am,Pinnacle,Toronto Raptors,Miami Heat,-9.0,-121,9.0,-109,84,76,-4.5,4.5
1/3 10:28:19 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
1/3 10:28:18 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-123,8.0,-108,84,76,-4.5,4.5
1/3 10:28:17 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
1/3 10:28:16 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-123,8.0,-108,84,76,-4.5,4.5
1/3 10:28:10 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
1/3 10:28:08 am,Pinnacle,Toronto Raptors,Miami Heat,-8.0,-123,8.0,-108,84,76,-4.5,4.5
1/3 10:28:07 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
1/3 10:28:04 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-111,8.5,-119,84,76,-4.5,4.5
1/3 10:28:02 am,Pinnacle,Toronto Raptors,Miami Heat,-8.5,-113,8.5,-117,84,76,-4.5,4.5
