Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/19 11:13:21 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,102,-17.0,-120,112,122,4.5,-4.5
1/19 11:13:06 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,-102,-17.0,-115,112,122,4.5,-4.5
1/19 11:12:48 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,-101,-17.0,-116,112,122,4.5,-4.5
1/19 11:12:45 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,-112,-17.0,-104,112,122,4.5,-4.5
1/19 11:10:00 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,-123,-17.0,-108,112,122,4.5,-4.5
1/19 11:09:57 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,16.0,-111,-16.0,-120,112,122,4.5,-4.5
1/19 11:09:54 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,16.0,-110,-16.0,-120,112,122,4.5,-4.5
1/19 11:09:48 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,15.0,-115,-15.0,-115,112,122,4.5,-4.5
1/19 11:09:30 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,16.0,-111,-16.0,-119,112,122,4.5,-4.5
1/19 11:08:59 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-110,-17.5,-120,112,122,4.5,-4.5
1/19 11:08:57 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-111,-17.5,-120,112,122,4.5,-4.5
1/19 11:08:48 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-104,-17.5,-112,112,122,4.5,-4.5
1/19 11:08:42 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,106,-17.5,-124,112,122,4.5,-4.5
1/19 11:08:33 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,107,-17.5,-125,112,122,4.5,-4.5
1/19 11:08:21 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,108,-17.5,-127,112,122,4.5,-4.5
1/19 11:08:15 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,108,-17.5,-126,112,122,4.5,-4.5
1/19 11:08:09 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,105,-17.5,-123,112,122,4.5,-4.5
1/19 11:08:03 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,103,-17.5,-121,112,122,4.5,-4.5
1/19 11:07:57 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,100,-17.5,-117,112,122,4.5,-4.5
1/19 11:07:15 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-109,-17.5,-107,112,122,4.5,-4.5
1/19 11:06:03 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-104,-17.5,-112,112,122,4.5,-4.5
1/19 11:05:54 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-111,-17.5,-119,112,122,4.5,-4.5
1/19 11:05:51 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.5,-111,-17.5,-120,112,122,4.5,-4.5
1/19 11:05:36 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,17.0,-115,-17.0,-115,112,122,4.5,-4.5
1/19 11:05:15 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,16.0,-121,-16.0,-109,112,122,4.5,-4.5
1/19 11:04:57 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,14.5,-121,-14.5,-109,112,122,4.5,-4.5
1/19 11:04:27 am,Pinnacle,Toronto Raptors,Minnesota Timberwolves,13.0,-111,-13.0,-120,112,122,4.5,-4.5
