Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/25 10:42:32 am,Pinnacle,Toronto Raptors,New York Knicks,5.5,103,-5.5,-120,112,118,9,-9
1/25 10:42:14 am,Pinnacle,Toronto Raptors,New York Knicks,5.5,-101,-5.5,-116,112,118,9,-9
1/25 10:34:25 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,108,-4.0,-126,112,118,9,-9
1/25 10:33:32 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,110,-4.0,-129,112,118,9,-9
1/25 10:33:23 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,110,-4.0,-128,112,118,9,-9
1/25 10:33:17 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,105,-4.0,-122,112,118,9,-9
1/25 10:33:11 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,-100,-4.0,-117,112,118,9,-9
1/25 10:32:54 am,Pinnacle,Toronto Raptors,New York Knicks,4.0,-101,-4.0,-116,112,118,9,-9
1/25 10:31:14 am,Pinnacle,Toronto Raptors,New York Knicks,7.0,-122,-7.0,-109,112,118,9,-9
1/25 10:31:08 am,Pinnacle,Toronto Raptors,New York Knicks,6.0,-119,-6.0,-111,112,118,9,-9
1/25 10:30:53 am,Pinnacle,Toronto Raptors,New York Knicks,7.0,-118,-7.0,-112,112,118,9,-9
1/25 10:30:47 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-115,-6.5,-115,112,118,9,-9
1/25 10:30:44 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-110,-6.5,-121,112,118,9,-9
1/25 10:30:38 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-110,-6.5,-120,112,118,9,-9
1/25 10:30:23 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-110,-6.5,-120,112,118,9,-9
1/25 10:30:14 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-109,-6.5,-121,112,118,9,-9
1/25 10:29:51 am,Pinnacle,Toronto Raptors,New York Knicks,7.5,-110,-7.5,-120,112,118,9,-9
1/25 10:29:46 am,Pinnacle,Toronto Raptors,New York Knicks,7.5,-111,-7.5,-119,112,118,9,-9
1/25 10:29:38 am,Pinnacle,Toronto Raptors,New York Knicks,7.5,-113,-7.5,-118,112,118,9,-9
1/25 10:29:35 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-108,-6.5,-122,112,118,9,-9
1/25 10:29:14 am,Pinnacle,Toronto Raptors,New York Knicks,6.5,-109,-6.5,-122,112,118,9,-9
1/25 10:28:59 am,Pinnacle,Toronto Raptors,New York Knicks,7.5,-110,-7.5,-121,112,118,9,-9
1/25 10:28:40 am,Pinnacle,Toronto Raptors,New York Knicks,9.0,-115,-9.0,-115,112,118,9,-9
1/25 10:28:23 am,Pinnacle,Toronto Raptors,New York Knicks,9.0,-118,-9.0,-112,112,118,9,-9
1/25 10:28:17 am,Pinnacle,Toronto Raptors,New York Knicks,9.5,-121,-9.5,-109,112,118,9,-9
1/25 10:28:10 am,Pinnacle,Toronto Raptors,New York Knicks,9.0,-107,-9.0,-123,112,118,9,-9
1/25 10:28:34 am,Pinnacle,Toronto Raptors,New York Knicks,10.0,-117,-10.0,-113,112,118,9,-9
1/25 10:27:44 am,Pinnacle,Toronto Raptors,New York Knicks,9.5,-124,-9.5,-107,112,118,9,-9
1/25 10:27:11 am,Pinnacle,Toronto Raptors,New York Knicks,9.5,-122,-9.5,-108,112,118,9,-9
1/25 10:26:51 am,Pinnacle,Toronto Raptors,New York Knicks,10.0,-119,-10.0,-111,112,118,9,-9
1/25 10:26:29 am,Pinnacle,Toronto Raptors,New York Knicks,9.5,-119,-9.5,-111,112,118,9,-9
1/25 10:26:20 am,Pinnacle,Toronto Raptors,New York Knicks,10.5,-109,-10.5,-121,112,118,9,-9
1/25 10:26:17 am,Pinnacle,Toronto Raptors,New York Knicks,11.5,-109,-11.5,-121,112,118,9,-9
1/25 10:26:13 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-115,-12.0,-115,112,118,9,-9
1/25 10:26:04 am,Pinnacle,Toronto Raptors,New York Knicks,11.0,-116,-11.0,-114,112,118,9,-9
1/25 10:26:02 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-122,-12.0,-108,112,118,9,-9
1/25 10:25:53 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-114,-12.0,-116,112,118,9,-9
1/25 10:25:51 am,Pinnacle,Toronto Raptors,New York Knicks,11.0,-116,-11.0,-114,112,118,9,-9
1/25 10:25:44 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-111,-12.0,-119,112,118,9,-9
1/25 10:25:16 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-111,-12.0,-119,112,118,9,-9
1/25 10:25:02 am,Pinnacle,Toronto Raptors,New York Knicks,11.5,-111,-11.5,-119,112,118,9,-9
1/25 10:24:53 am,Pinnacle,Toronto Raptors,New York Knicks,11.0,-110,-11.0,-120,112,118,9,-9
1/25 10:24:04 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-119,-12.0,-111,112,118,9,-9
1/25 10:23:53 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-118,-12.0,-112,112,118,9,-9
1/25 10:23:36 am,Pinnacle,Toronto Raptors,New York Knicks,12.0,-117,-12.0,-113,112,118,9,-9
1/25 10:23:23 am,Pinnacle,Toronto Raptors,New York Knicks,11.5,-116,-11.5,-114,112,118,9,-9
1/25 10:23:14 am,Pinnacle,Toronto Raptors,New York Knicks,11.5,-123,-11.5,-108,112,118,9,-9
1/25 10:23:09 am,Pinnacle,Toronto Raptors,New York Knicks,11.5,-122,-11.5,-108,112,118,9,-9
