Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 9:14:07 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-126,12.5,108,110,104,-3,3
12/9 9:14:01 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-125,12.5,107,110,104,-3,3
12/9 9:13:19 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-124,12.5,107,110,104,-3,3
12/9 9:12:31 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-127,12.5,109,110,104,-3,3
12/9 9:12:22 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-123,12.5,105,110,104,-3,3
12/9 9:12:16 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-119,12.5,102,110,104,-3,3
12/9 9:12:13 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-112,12.5,-104,110,104,-3,3
12/9 9:12:04 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-12.5,-108,12.5,-108,110,104,-3,3
12/9 9:10:49 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,113,14.5,-132,110,104,-3,3
12/9 9:10:43 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,115,14.5,-135,110,104,-3,3
12/9 9:10:40 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,116,14.5,-136,110,104,-3,3
12/9 9:10:34 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,116,14.5,-135,110,104,-3,3
12/9 9:10:19 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,117,14.5,-136,110,104,-3,3
12/9 9:10:10 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,119,14.5,-140,110,104,-3,3
12/9 9:10:04 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,117,14.5,-137,110,104,-3,3
12/9 9:09:58 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,112,14.5,-131,110,104,-3,3
12/9 9:09:55 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,110,14.5,-129,110,104,-3,3
12/9 9:09:52 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,110,14.5,-128,110,104,-3,3
12/9 9:09:49 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,108,14.5,-127,110,104,-3,3
12/9 9:09:46 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,107,14.5,-125,110,104,-3,3
12/9 9:09:43 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,106,14.5,-124,110,104,-3,3
12/9 9:09:40 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,104,14.5,-121,110,104,-3,3
12/9 9:09:19 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,-101,14.5,-115,110,104,-3,3
12/9 9:08:16 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,-102,14.5,-114,110,104,-3,3
12/9 9:08:07 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,-101,14.5,-116,110,104,-3,3
12/9 9:07:37 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,106,14.5,-123,110,104,-3,3
12/9 9:07:34 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-14.5,-108,14.5,-108,110,104,-3,3
12/9 9:01:49 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,-119,17.5,-112,110,104,-3,3
12/9 9:01:43 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,-118,17.5,-112,110,104,-3,3
12/9 9:01:34 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.0,107,16.0,-142,110,104,-3,3
12/9 9:01:22 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.0,-106,16.0,-124,110,104,-3,3
12/9 9:01:16 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-118,16.5,-112,110,104,-3,3
12/9 9:01:10 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,110,17.5,-147,110,104,-3,3
12/9 9:01:07 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,-102,17.5,-130,110,104,-3,3
12/9 9:00:58 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,-115,17.5,-115,110,104,-3,3
12/9 9:00:52 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-122,16.5,-108,110,104,-3,3
12/9 9:00:40 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-114,16.5,-116,110,104,-3,3
12/9 9:00:34 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-103,16.5,-129,110,104,-3,3
12/9 9:00:22 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-117,16.5,-113,110,104,-3,3
12/9 9:00:16 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,101,17.5,-133,110,104,-3,3
12/9 9:00:01 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-17.5,-114,17.5,-116,110,104,-3,3
12/9 8:59:46 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-123,16.5,105,110,104,-3,3
12/9 8:58:42 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-112,16.5,-105,110,104,-3,3
12/9 8:58:25 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-111,16.5,-105,110,104,-3,3
12/9 8:57:55 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-112,16.5,-104,110,104,-3,3
12/9 8:57:52 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-110,16.5,-107,110,104,-3,3
12/9 8:57:30 am,Pinnacle,Toronto Raptors,Philadelphia 76ers,-16.5,-108,16.5,-108,110,104,-3,3
