Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/4 12:35:35 pm,RedZone,Toronto Raptors,Phoenix Suns,7.5,-148,-7.5,118,114,123,3.5,-3.5
3/4 12:35:23 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,-134,-6.5,107,114,123,3.5,-3.5
3/4 12:35:16 pm,Pinnacle,Toronto Raptors,Phoenix Suns,7.5,-179,-7.5,152,114,123,3.5,-3.5
3/4 12:35:09 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,-125,-6.5,101,114,123,3.5,-3.5
3/4 12:35:00 pm,Pinnacle,Toronto Raptors,Phoenix Suns,7.5,-182,-7.5,154,114,123,3.5,-3.5
3/4 12:34:55 pm,Pinnacle,Toronto Raptors,Phoenix Suns,7.5,-176,-7.5,150,114,123,3.5,-3.5
3/4 12:34:43 pm,Pinnacle,Toronto Raptors,Phoenix Suns,7.5,-154,-7.5,131,114,123,3.5,-3.5
3/4 12:34:29 pm,Pinnacle,Toronto Raptors,Phoenix Suns,7.5,-150,-7.5,128,114,123,3.5,-3.5
3/4 12:34:14 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,-117,-6.5,-106,114,123,3.5,-3.5
3/4 12:34:02 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,-150,-6.5,119,114,123,3.5,-3.5
3/4 12:33:45 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,118,-5.5,-148,114,123,3.5,-3.5
3/4 12:33:28 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,107,-5.5,-134,114,123,3.5,-3.5
3/4 12:33:17 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-106,-5.5,-117,114,123,3.5,-3.5
3/4 12:32:53 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-137,-5.5,109,114,123,3.5,-3.5
3/4 12:32:43 pm,RedZone,Toronto Raptors,Phoenix Suns,4.5,-148,-4.5,118,114,123,3.5,-3.5
3/4 12:32:33 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-134,-5.5,107,114,123,3.5,-3.5
3/4 12:32:17 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-112,114,123,3.5,-3.5
3/4 12:32:07 pm,RedZone,Toronto Raptors,Phoenix Suns,4.5,101,-4.5,-125,114,123,3.5,-3.5
3/4 12:31:58 pm,RedZone,Toronto Raptors,Phoenix Suns,3.5,-103,-3.5,-121,114,123,3.5,-3.5
3/4 12:31:40 pm,RedZone,Toronto Raptors,Phoenix Suns,2.5,-108,-2.5,-115,114,123,3.5,-3.5
3/4 12:31:30 pm,RedZone,Toronto Raptors,Phoenix Suns,2.5,104,-2.5,-129,114,123,3.5,-3.5
3/4 12:31:17 pm,RedZone,Toronto Raptors,Phoenix Suns,3.5,-112,-3.5,-112,114,123,3.5,-3.5
3/4 12:31:05 pm,RedZone,Toronto Raptors,Phoenix Suns,3.5,-115,-3.5,-108,114,123,3.5,-3.5
3/4 12:30:10 pm,RedZone,Toronto Raptors,Phoenix Suns,1.5,104,-1.5,-129,114,123,3.5,-3.5
3/4 12:29:34 pm,RedZone,Toronto Raptors,Phoenix Suns,4.5,-112,-4.5,-112,114,123,3.5,-3.5
3/4 12:26:55 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-130,-5.5,104,114,123,3.5,-3.5
3/4 12:26:43 pm,RedZone,Toronto Raptors,Phoenix Suns,4.5,-118,-4.5,-105,114,123,3.5,-3.5
3/4 12:24:12 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,101,-5.5,-126,114,123,3.5,-3.5
3/4 12:23:57 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,101,-6.5,-126,114,123,3.5,-3.5
3/4 12:23:30 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,104,-6.5,-130,114,123,3.5,-3.5
3/4 12:23:04 pm,RedZone,Toronto Raptors,Phoenix Suns,6.5,-126,-6.5,101,114,123,3.5,-3.5
3/4 12:22:41 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,101,-5.5,-126,114,123,3.5,-3.5
3/4 12:22:19 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-113,-5.5,-104,114,123,3.5,-3.5
3/4 12:22:13 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:22:04 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:21:58 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:21:52 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:21:43 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:21:34 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-111,-5.5,-105,114,123,3.5,-3.5
3/4 12:21:28 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-104,114,123,3.5,-3.5
3/4 12:21:22 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-117,-5.5,-100,114,123,3.5,-3.5
3/4 12:21:14 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-117,-5.5,100,114,123,3.5,-3.5
3/4 12:21:10 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-117,-5.5,100,114,123,3.5,-3.5
3/4 12:20:58 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-117,-5.5,100,114,123,3.5,-3.5
3/4 12:20:52 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.5,-116,-5.5,-101,114,123,3.5,-3.5
3/4 12:20:43 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.0,101,-5.0,-118,114,123,3.5,-3.5
3/4 12:20:37 pm,Pinnacle,Toronto Raptors,Phoenix Suns,5.0,101,-5.0,-118,114,123,3.5,-3.5
3/4 12:19:17 pm,RedZone,Toronto Raptors,Phoenix Suns,5.5,-112,-5.5,-112,114,123,3.5,-3.5
3/4 12:18:59 pm,RedZone,Toronto Raptors,Phoenix Suns,4.5,-108,-4.5,-115,114,123,3.5,-3.5
