Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/9 11:31:25 am,Pinnacle,Toronto Raptors,Sacramento Kings,0.0,622,0.0,-900,113,118,4.5,-4.5
3/9 11:19:36 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,-134,-2.5,107,113,118,4.5,-4.5
3/9 11:19:10 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,104,-3.5,-129,113,118,4.5,-4.5
3/9 11:19:07 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,-134,-3.5,107,113,118,4.5,-4.5
3/9 11:18:50 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,-106,-3.5,-117,113,118,4.5,-4.5
3/9 11:18:42 am,RedZone,Toronto Raptors,Sacramento Kings,4.5,-117,-4.5,-106,113,118,4.5,-4.5
3/9 11:18:15 am,RedZone,Toronto Raptors,Sacramento Kings,4.5,-129,-4.5,104,113,118,4.5,-4.5
3/9 11:18:10 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,-106,-3.5,-117,113,118,4.5,-4.5
3/9 11:17:49 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,-112,-3.5,-112,113,118,4.5,-4.5
3/9 11:17:34 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,104,-2.5,-129,113,118,4.5,-4.5
3/9 11:17:26 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,-125,-2.5,101,113,118,4.5,-4.5
3/9 11:16:15 am,RedZone,Toronto Raptors,Sacramento Kings,-0.5,-102,0.5,-122,113,118,4.5,-4.5
3/9 11:16:01 am,RedZone,Toronto Raptors,Sacramento Kings,-0.5,101,0.5,-126,113,118,4.5,-4.5
3/9 11:15:38 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,104,-2.5,-130,113,118,4.5,-4.5
3/9 11:15:07 am,RedZone,Toronto Raptors,Sacramento Kings,-0.5,101,0.5,-126,113,118,4.5,-4.5
3/9 11:14:46 am,RedZone,Toronto Raptors,Sacramento Kings,1.5,-112,-1.5,-112,113,118,4.5,-4.5
3/9 11:14:19 am,RedZone,Toronto Raptors,Sacramento Kings,1.5,-105,-1.5,-118,113,118,4.5,-4.5
3/9 11:13:42 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,-105,-2.5,-118,113,118,4.5,-4.5
3/9 11:13:28 am,RedZone,Toronto Raptors,Sacramento Kings,1.5,101,-1.5,-126,113,118,4.5,-4.5
3/9 11:13:11 am,RedZone,Toronto Raptors,Sacramento Kings,3.5,-105,-3.5,-118,113,118,4.5,-4.5
3/9 11:12:40 am,Pinnacle,Toronto Raptors,Sacramento Kings,2.0,116,-2.0,-136,113,118,4.5,-4.5
3/9 11:12:16 am,Pinnacle,Toronto Raptors,Sacramento Kings,2.0,114,-2.0,-133,113,118,4.5,-4.5
3/9 11:12:10 am,Pinnacle,Toronto Raptors,Sacramento Kings,2.0,100,-2.0,-117,113,118,4.5,-4.5
3/9 11:11:20 am,RedZone,Toronto Raptors,Sacramento Kings,1.5,101,-1.5,-126,113,118,4.5,-4.5
3/9 11:10:59 am,RedZone,Toronto Raptors,Sacramento Kings,2.5,101,-2.5,-126,113,118,4.5,-4.5
3/9 11:10:51 am,RedZone,Toronto Raptors,Sacramento Kings,4.5,-126,-4.5,101,113,118,4.5,-4.5
3/9 11:10:27 am,RedZone,Toronto Raptors,Sacramento Kings,4.5,101,-4.5,-126,113,118,4.5,-4.5
3/9 11:10:04 am,RedZone,Toronto Raptors,Sacramento Kings,5.5,-105,-5.5,-118,113,118,4.5,-4.5
3/9 11:09:58 am,Pinnacle,Toronto Raptors,Sacramento Kings,5.0,103,-5.0,-136,113,118,4.5,-4.5
3/9 11:09:55 am,Pinnacle,Toronto Raptors,Sacramento Kings,5.0,-109,-5.0,-121,113,118,4.5,-4.5
3/9 11:09:48 am,Pinnacle,Toronto Raptors,Sacramento Kings,5.0,-122,-5.0,-109,113,118,4.5,-4.5
3/9 11:09:45 am,Pinnacle,Toronto Raptors,Sacramento Kings,5.5,-108,-5.5,-122,113,118,4.5,-4.5
