Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/27 7:24:10 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,174,-3.5,-207,106,110,3.5,-3.5
1/27 7:23:40 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,176,-3.5,-209,106,110,3.5,-3.5
1/27 7:23:19 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,170,-3.5,-201,106,110,3.5,-3.5
1/27 7:23:04 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,148,-3.5,-175,106,110,3.5,-3.5
1/27 7:22:56 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,145,-3.5,-171,106,110,3.5,-3.5
1/27 7:21:10 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,168,-3.5,-199,106,110,3.5,-3.5
1/27 7:21:01 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,165,-3.5,-196,106,110,3.5,-3.5
1/27 7:20:38 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,169,-3.5,-200,106,110,3.5,-3.5
1/27 7:09:28 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-120,-6.5,103,106,110,3.5,-3.5
1/27 7:09:19 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-118,-6.5,101,106,110,3.5,-3.5
1/27 7:09:10 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-119,-6.5,102,106,110,3.5,-3.5
1/27 7:09:08 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-120,-6.5,103,106,110,3.5,-3.5
1/27 7:08:32 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-112,-6.5,-104,106,110,3.5,-3.5
1/27 7:08:04 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-109,-6.5,-107,106,110,3.5,-3.5
1/27 7:06:55 am,Pinnacle,Toronto Raptors,San Antonio Spurs,6.5,-108,-6.5,-108,106,110,3.5,-3.5
1/27 7:05:43 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-125,-5.0,-106,106,110,3.5,-3.5
1/27 7:05:37 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-112,-4.0,-118,106,110,3.5,-3.5
1/27 7:05:34 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-118,-4.0,-112,106,110,3.5,-3.5
1/27 7:05:31 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-117,-4.0,-113,106,110,3.5,-3.5
1/27 7:05:28 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-115,-4.0,-115,106,110,3.5,-3.5
1/27 7:05:19 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-119,-5.0,-111,106,110,3.5,-3.5
1/27 7:05:16 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-121,-5.0,-109,106,110,3.5,-3.5
1/27 7:05:10 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-114,-5.0,-116,106,110,3.5,-3.5
1/27 7:05:07 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-113,-5.0,-117,106,110,3.5,-3.5
1/27 7:04:55 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-105,-4.0,-126,106,110,3.5,-3.5
1/27 7:04:49 am,Pinnacle,Toronto Raptors,San Antonio Spurs,5.0,-112,-5.0,-118,106,110,3.5,-3.5
1/27 7:04:41 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-109,-4.0,-122,106,110,3.5,-3.5
1/27 7:04:22 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.0,-109,-4.0,-122,106,110,3.5,-3.5
1/27 7:04:10 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-114,-4.5,-116,106,110,3.5,-3.5
1/27 7:03:55 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-119,-4.5,-111,106,110,3.5,-3.5
1/27 7:03:37 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-122,-4.5,-109,106,110,3.5,-3.5
1/27 7:03:34 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-123,-4.5,-108,106,110,3.5,-3.5
1/27 7:03:29 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,-110,-3.5,-120,106,110,3.5,-3.5
1/27 7:03:26 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,-116,-3.5,-114,106,110,3.5,-3.5
1/27 7:03:16 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-121,-4.5,-109,106,110,3.5,-3.5
1/27 7:03:13 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-134,-4.5,101,106,110,3.5,-3.5
1/27 7:03:11 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-119,-4.5,-111,106,110,3.5,-3.5
1/27 7:03:01 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-118,-4.5,-112,106,110,3.5,-3.5
1/27 7:02:49 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-117,-4.5,-113,106,110,3.5,-3.5
1/27 7:02:31 am,Pinnacle,Toronto Raptors,San Antonio Spurs,4.5,-117,-4.5,-113,106,110,3.5,-3.5
1/27 7:02:25 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,-110,-3.5,-120,106,110,3.5,-3.5
1/27 7:02:22 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,-109,-3.5,-122,106,110,3.5,-3.5
1/27 7:02:08 am,Pinnacle,Toronto Raptors,San Antonio Spurs,3.5,-108,-3.5,-122,106,110,3.5,-3.5
1/27 7:01:55 am,Pinnacle,Toronto Raptors,San Antonio Spurs,1.5,-106,-1.5,-125,106,110,3.5,-3.5
1/27 7:01:52 am,Pinnacle,Toronto Raptors,San Antonio Spurs,1.5,-112,-1.5,-118,106,110,3.5,-3.5
1/27 7:01:40 am,Pinnacle,Toronto Raptors,San Antonio Spurs,1.5,-118,-1.5,-112,106,110,3.5,-3.5
