Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/10 11:29:34 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,185,-6.5,-220,92,101,-5.5,5.5
3/10 11:29:28 am,Pinnacle,Toronto Raptors,Utah Jazz,0.0,185,0.0,-220,92,101,-5.5,5.5
3/10 11:29:04 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,185,-6.5,-220,92,101,-5.5,5.5
3/10 11:26:32 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,103,-6.5,-120,92,101,-5.5,5.5
3/10 11:26:29 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,102,-6.5,-119,92,101,-5.5,5.5
3/10 11:26:25 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,103,-6.5,-120,92,101,-5.5,5.5
3/10 11:26:22 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,-102,-6.5,-114,92,101,-5.5,5.5
3/10 11:26:10 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,-104,-6.5,-112,92,101,-5.5,5.5
3/10 11:26:07 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,-106,-6.5,-110,92,101,-5.5,5.5
3/10 11:25:56 am,Pinnacle,Toronto Raptors,Utah Jazz,6.5,-108,-6.5,-108,92,101,-5.5,5.5
3/10 11:25:34 am,Pinnacle,Toronto Raptors,Utah Jazz,4.5,185,-4.5,-220,92,101,-5.5,5.5
3/10 11:15:04 am,RedZone,Toronto Raptors,Utah Jazz,4.5,-121,-4.5,-103,92,101,-5.5,5.5
3/10 11:14:49 am,RedZone,Toronto Raptors,Utah Jazz,4.5,-129,-4.5,104,92,101,-5.5,5.5
3/10 11:14:45 am,RedZone,Toronto Raptors,Utah Jazz,4.5,101,-4.5,-125,92,101,-5.5,5.5
3/10 11:14:35 am,RedZone,Toronto Raptors,Utah Jazz,4.5,-115,-4.5,-108,92,101,-5.5,5.5
