Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/15 10:37:16 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-117,-10.0,100,107,118,3.5,-3.5
1/15 10:37:13 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-118,-10.0,101,107,118,3.5,-3.5
1/15 10:36:58 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-125,-10.0,107,107,118,3.5,-3.5
1/15 10:36:45 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-128,-10.0,109,107,118,3.5,-3.5
1/15 10:36:37 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-125,-10.0,107,107,118,3.5,-3.5
1/15 10:36:34 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-129,-10.0,111,107,118,3.5,-3.5
1/15 10:36:27 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-118,-10.0,101,107,118,3.5,-3.5
1/15 10:36:19 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-117,-10.0,100,107,118,3.5,-3.5
1/15 10:27:47 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-118,-11.5,-113,107,118,3.5,-3.5
1/15 10:26:06 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,107,-11.5,-125,107,118,3.5,-3.5
1/15 10:25:04 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,103,-11.5,-120,107,118,3.5,-3.5
1/15 10:24:54 am,Pinnacle,Utah Jazz,Brooklyn Nets,12.0,-116,-12.0,-100,107,118,3.5,-3.5
1/15 10:24:15 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-121,-11.0,-110,107,118,3.5,-3.5
1/15 10:23:55 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-119,-11.5,-111,107,118,3.5,-3.5
1/15 10:23:45 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-122,-11.0,-108,107,118,3.5,-3.5
1/15 10:23:06 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-123,-11.0,-108,107,118,3.5,-3.5
1/15 10:22:49 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-121,-11.5,-109,107,118,3.5,-3.5
1/15 10:22:40 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-121,-10.0,-109,107,118,3.5,-3.5
1/15 10:22:37 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.0,-107,-9.0,-124,107,118,3.5,-3.5
1/15 10:22:34 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.0,-115,-9.0,-115,107,118,3.5,-3.5
1/15 10:22:27 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.0,-121,-9.0,-109,107,118,3.5,-3.5
1/15 10:21:43 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.0,-121,-9.0,-109,107,118,3.5,-3.5
1/15 10:21:33 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.5,-109,-9.5,-122,107,118,3.5,-3.5
1/15 10:21:28 am,Pinnacle,Utah Jazz,Brooklyn Nets,8.5,-104,-8.5,-127,107,118,3.5,-3.5
1/15 10:21:19 am,Pinnacle,Utah Jazz,Brooklyn Nets,8.5,-109,-8.5,-121,107,118,3.5,-3.5
1/15 10:21:10 am,Pinnacle,Utah Jazz,Brooklyn Nets,8.0,-105,-8.0,-126,107,118,3.5,-3.5
1/15 10:21:05 am,Pinnacle,Utah Jazz,Brooklyn Nets,8.0,-111,-8.0,-120,107,118,3.5,-3.5
1/15 10:20:55 am,Pinnacle,Utah Jazz,Brooklyn Nets,9.0,-119,-9.0,-112,107,118,3.5,-3.5
1/15 10:20:49 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-138,-10.0,104,107,118,3.5,-3.5
1/15 10:20:45 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-127,-10.0,-104,107,118,3.5,-3.5
1/15 10:20:34 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-118,-10.0,-112,107,118,3.5,-3.5
1/15 10:20:31 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.5,-119,-10.5,-111,107,118,3.5,-3.5
1/15 10:20:28 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.5,-108,-10.5,-122,107,118,3.5,-3.5
1/15 10:20:25 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-120,-11.0,-111,107,118,3.5,-3.5
1/15 10:20:22 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-143,-11.0,108,107,118,3.5,-3.5
1/15 10:20:19 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-117,-11.0,-113,107,118,3.5,-3.5
1/15 10:20:16 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-120,-11.0,-110,107,118,3.5,-3.5
1/15 10:20:13 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-119,-11.0,-111,107,118,3.5,-3.5
1/15 10:20:07 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-115,-11.0,-115,107,118,3.5,-3.5
1/15 10:19:58 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-111,-11.0,-120,107,118,3.5,-3.5
1/15 10:19:49 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-110,-11.5,-120,107,118,3.5,-3.5
1/15 10:19:46 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-111,-11.0,-119,107,118,3.5,-3.5
1/15 10:19:40 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-115,-11.0,-115,107,118,3.5,-3.5
1/15 10:19:37 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-109,-10.0,-121,107,118,3.5,-3.5
1/15 10:19:28 am,Pinnacle,Utah Jazz,Brooklyn Nets,10.0,-117,-10.0,-114,107,118,3.5,-3.5
1/15 10:19:24 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-116,-11.0,-114,107,118,3.5,-3.5
1/15 10:19:22 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-132,-11.0,100,107,118,3.5,-3.5
1/15 10:19:01 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.0,-114,-11.0,-116,107,118,3.5,-3.5
1/15 10:18:58 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-122,-11.5,-108,107,118,3.5,-3.5
1/15 10:18:46 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-114,-11.5,-116,107,118,3.5,-3.5
1/15 10:17:40 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-101,-11.5,-116,107,118,3.5,-3.5
1/15 10:17:10 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-103,-11.5,-114,107,118,3.5,-3.5
1/15 10:16:33 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,100,-11.5,-117,107,118,3.5,-3.5
1/15 10:16:19 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-103,-11.5,-114,107,118,3.5,-3.5
1/15 10:16:03 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-107,-11.5,-109,107,118,3.5,-3.5
1/15 10:15:57 am,Pinnacle,Utah Jazz,Brooklyn Nets,11.5,-114,-11.5,-116,107,118,3.5,-3.5
1/15 10:15:49 am,Pinnacle,Utah Jazz,Brooklyn Nets,12.0,-113,-12.0,-117,107,118,3.5,-3.5
