Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/3 10:07:05 am,RedZone,Utah Jazz,Cleveland Cavaliers,17.5,-112,-17.5,-112,113,126,9.5,-9.5
3/3 10:06:57 am,RedZone,Utah Jazz,Cleveland Cavaliers,16.5,-112,-16.5,-112,113,126,9.5,-9.5
3/3 10:06:38 am,RedZone,Utah Jazz,Cleveland Cavaliers,15.5,104,-15.5,-130,113,126,9.5,-9.5
3/3 10:06:03 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,129,-14.5,-151,113,126,9.5,-9.5
3/3 10:05:57 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,116,-14.5,-135,113,126,9.5,-9.5
3/3 10:05:48 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,117,-14.5,-137,113,126,9.5,-9.5
3/3 10:05:42 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,120,-14.5,-140,113,126,9.5,-9.5
3/3 10:05:39 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,119,-14.5,-140,113,126,9.5,-9.5
3/3 10:05:38 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,120,-14.5,-140,113,126,9.5,-9.5
3/3 10:05:37 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,124,-14.5,-145,113,126,9.5,-9.5
3/3 10:05:36 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,120,-14.5,-140,113,126,9.5,-9.5
3/3 10:05:33 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,124,-14.5,-145,113,126,9.5,-9.5
3/3 10:05:06 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,130,-14.5,-153,113,126,9.5,-9.5
3/3 10:04:51 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,118,-14.5,-138,113,126,9.5,-9.5
3/3 10:04:48 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,123,-14.5,-144,113,126,9.5,-9.5
3/3 10:04:46 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,114,-14.5,-133,113,126,9.5,-9.5
3/3 10:04:42 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,112,-14.5,-131,113,126,9.5,-9.5
3/3 10:04:40 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,113,-14.5,-132,113,126,9.5,-9.5
3/3 10:04:33 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,117,-14.5,-137,113,126,9.5,-9.5
3/3 10:04:27 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,123,-14.5,-144,113,126,9.5,-9.5
3/3 10:04:24 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,128,-14.5,-150,113,126,9.5,-9.5
3/3 10:04:21 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,126,-14.5,-147,113,126,9.5,-9.5
3/3 10:04:12 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,132,-14.5,-155,113,126,9.5,-9.5
3/3 10:04:09 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,119,-14.5,-139,113,126,9.5,-9.5
3/3 10:04:06 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,107,-14.5,-125,113,126,9.5,-9.5
3/3 10:04:03 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,105,-14.5,-123,113,126,9.5,-9.5
3/3 10:04:00 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,103,-14.5,-120,113,126,9.5,-9.5
3/3 10:03:57 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,14.5,-108,-14.5,-108,113,126,9.5,-9.5
3/3 10:03:32 am,RedZone,Utah Jazz,Cleveland Cavaliers,15.5,-105,-15.5,-118,113,126,9.5,-9.5
3/3 10:03:16 am,RedZone,Utah Jazz,Cleveland Cavaliers,15.5,-118,-15.5,-105,113,126,9.5,-9.5
3/3 10:02:57 am,RedZone,Utah Jazz,Cleveland Cavaliers,14.5,-118,-14.5,-105,113,126,9.5,-9.5
3/3 10:02:42 am,RedZone,Utah Jazz,Cleveland Cavaliers,14.5,-130,-14.5,104,113,126,9.5,-9.5
3/3 10:02:27 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-118,-12.5,-105,113,126,9.5,-9.5
3/3 10:02:14 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-126,-12.5,101,113,126,9.5,-9.5
3/3 10:01:47 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-105,-11.5,-118,113,126,9.5,-9.5
3/3 10:00:58 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-108,-13.5,-115,113,126,9.5,-9.5
3/3 10:00:33 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-105,-12.5,-118,113,126,9.5,-9.5
3/3 10:00:23 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-118,-11.5,-105,113,126,9.5,-9.5
3/3 10:00:21 am,RedZone,Utah Jazz,Cleveland Cavaliers,10.5,-115,-10.5,-108,113,126,9.5,-9.5
3/3 9:59:36 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-118,-11.5,-105,113,126,9.5,-9.5
3/3 9:59:14 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-126,-11.5,101,113,126,9.5,-9.5
3/3 9:58:57 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-112,-12.5,-112,113,126,9.5,-9.5
3/3 9:58:49 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-126,-13.5,101,113,126,9.5,-9.5
3/3 9:58:26 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-122,-13.5,-102,113,126,9.5,-9.5
3/3 9:57:37 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,107,-11.5,-125,113,126,9.5,-9.5
3/3 9:57:22 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,106,-11.5,-124,113,126,9.5,-9.5
3/3 9:57:04 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,107,-11.5,-125,113,126,9.5,-9.5
3/3 9:56:58 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,110,-11.5,-128,113,126,9.5,-9.5
3/3 9:56:49 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,112,-11.5,-131,113,126,9.5,-9.5
3/3 9:56:40 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,113,-11.5,-132,113,126,9.5,-9.5
3/3 9:56:10 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,107,-11.5,-125,113,126,9.5,-9.5
3/3 9:56:08 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-112,-11.5,-112,113,126,9.5,-9.5
3/3 9:56:01 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,104,-11.5,-121,113,126,9.5,-9.5
3/3 9:55:58 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,102,-11.5,-119,113,126,9.5,-9.5
3/3 9:55:43 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,11.5,105,-11.5,-123,113,126,9.5,-9.5
3/3 9:55:26 am,RedZone,Utah Jazz,Cleveland Cavaliers,11.5,-118,-11.5,-105,113,126,9.5,-9.5
3/3 9:55:10 am,RedZone,Utah Jazz,Cleveland Cavaliers,10.5,-105,-10.5,-118,113,126,9.5,-9.5
3/3 9:55:02 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,12.5,-119,-12.5,-111,113,126,9.5,-9.5
3/3 9:55:00 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-112,-12.5,-112,113,126,9.5,-9.5
3/3 9:54:52 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,13.5,-123,-13.5,-107,113,126,9.5,-9.5
3/3 9:54:46 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-112,-13.5,-112,113,126,9.5,-9.5
3/3 9:54:28 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,12.5,-118,-12.5,-112,113,126,9.5,-9.5
3/3 9:54:22 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,13.5,-120,-13.5,-110,113,126,9.5,-9.5
3/3 9:54:19 am,RedZone,Utah Jazz,Cleveland Cavaliers,12.5,-112,-12.5,-112,113,126,9.5,-9.5
3/3 9:54:13 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-112,-13.5,-112,113,126,9.5,-9.5
3/3 9:54:04 am,Pinnacle,Utah Jazz,Cleveland Cavaliers,13.5,-121,-13.5,-110,113,126,9.5,-9.5
3/3 9:54:02 am,RedZone,Utah Jazz,Cleveland Cavaliers,13.5,-108,-13.5,-115,113,126,9.5,-9.5
