Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/8 10:25:17 am,Pinnacle,Utah Jazz,Detroit Pistons,4.5,177,-4.5,-210,105,111,8.5,-8.5
3/8 10:24:41 am,Pinnacle,Utah Jazz,Detroit Pistons,4.5,185,-4.5,-220,105,111,8.5,-8.5
3/8 10:24:30 am,Pinnacle,Utah Jazz,Detroit Pistons,4.5,188,-4.5,-223,105,111,8.5,-8.5
3/8 10:23:52 am,Pinnacle,Utah Jazz,Detroit Pistons,4.5,185,-4.5,-220,105,111,8.5,-8.5
3/8 10:23:44 am,Pinnacle,Utah Jazz,Detroit Pistons,4.5,193,-4.5,-230,105,111,8.5,-8.5
3/8 10:23:39 am,RedZone,Utah Jazz,Detroit Pistons,4.5,152,-4.5,-195,105,111,8.5,-8.5
3/8 10:23:25 am,RedZone,Utah Jazz,Detroit Pistons,4.5,126,-4.5,-159,105,111,8.5,-8.5
3/8 10:22:58 am,RedZone,Utah Jazz,Detroit Pistons,4.5,118,-4.5,-148,105,111,8.5,-8.5
3/8 10:22:24 am,RedZone,Utah Jazz,Detroit Pistons,4.5,-117,-4.5,-106,105,111,8.5,-8.5
3/8 10:22:18 am,RedZone,Utah Jazz,Detroit Pistons,4.5,-125,-4.5,101,105,111,8.5,-8.5
3/8 10:21:32 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,145,-3.5,-171,105,111,8.5,-8.5
3/8 10:21:18 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,150,-3.5,-176,105,111,8.5,-8.5
3/8 10:21:06 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,161,-3.5,-190,105,111,8.5,-8.5
3/8 10:21:00 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,153,-3.5,-180,105,111,8.5,-8.5
3/8 10:20:54 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,138,-3.5,-161,105,111,8.5,-8.5
3/8 10:20:45 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,154,-3.5,-181,105,111,8.5,-8.5
3/8 10:20:42 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,153,-3.5,-180,105,111,8.5,-8.5
3/8 10:20:39 am,Pinnacle,Utah Jazz,Detroit Pistons,3.5,152,-3.5,-179,105,111,8.5,-8.5
3/8 10:20:16 am,RedZone,Utah Jazz,Detroit Pistons,3.5,104,-3.5,-129,105,111,8.5,-8.5
3/8 10:19:57 am,RedZone,Utah Jazz,Detroit Pistons,5.5,101,-5.5,-125,105,111,8.5,-8.5
3/8 10:19:17 am,Pinnacle,Utah Jazz,Detroit Pistons,5.5,128,-5.5,-150,105,111,8.5,-8.5
3/8 10:18:42 am,RedZone,Utah Jazz,Detroit Pistons,5.5,104,-5.5,-129,105,111,8.5,-8.5
3/8 10:18:27 am,RedZone,Utah Jazz,Detroit Pistons,5.5,119,-5.5,-150,105,111,8.5,-8.5
3/8 10:18:20 am,RedZone,Utah Jazz,Detroit Pistons,7.5,119,-7.5,-150,105,111,8.5,-8.5
3/8 10:18:03 am,RedZone,Utah Jazz,Detroit Pistons,8.5,-103,-8.5,-121,105,111,8.5,-8.5
3/8 10:17:31 am,RedZone,Utah Jazz,Detroit Pistons,8.5,101,-8.5,-125,105,111,8.5,-8.5
3/8 10:17:06 am,RedZone,Utah Jazz,Detroit Pistons,8.5,-121,-8.5,-103,105,111,8.5,-8.5
