Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/28 10:11:21 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-105,15.0,-111,121,102,-1,1
11/28 10:11:12 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-106,15.0,-110,121,102,-1,1
11/28 10:11:05 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-104,15.0,-112,121,102,-1,1
11/28 10:10:51 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-105,15.0,-111,121,102,-1,1
11/28 10:10:44 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-107,15.0,-109,121,102,-1,1
11/28 10:10:29 am,Pinnacle,Utah Jazz,Indiana Pacers,-15.0,-108,15.0,-108,121,102,-1,1
11/28 10:07:01 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,102,11.0,-119,121,102,-1,1
11/28 10:06:56 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,101,11.0,-118,121,102,-1,1
11/28 10:06:47 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,100,11.0,-117,121,102,-1,1
11/28 10:06:38 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,-103,11.0,-114,121,102,-1,1
11/28 10:06:32 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,-104,11.0,-112,121,102,-1,1
11/28 10:06:26 am,Pinnacle,Utah Jazz,Indiana Pacers,-11.0,-117,11.0,100,121,102,-1,1
11/28 10:03:08 am,Pinnacle,Utah Jazz,Indiana Pacers,-8.0,-124,8.0,-106,121,102,-1,1
11/28 10:00:09 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-112,7.5,-119,121,102,-1,1
11/28 9:59:56 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-113,7.5,-117,121,102,-1,1
11/28 9:59:53 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.0,-123,7.0,-108,121,102,-1,1
11/28 9:59:47 am,Pinnacle,Utah Jazz,Indiana Pacers,-8.0,-123,8.0,-108,121,102,-1,1
11/28 9:59:41 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-113,7.5,-117,121,102,-1,1
11/28 9:59:32 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-115,7.5,-115,121,102,-1,1
11/28 9:59:02 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-123,6.5,-108,121,102,-1,1
11/28 9:58:56 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-122,6.5,-108,121,102,-1,1
11/28 9:58:33 am,Pinnacle,Utah Jazz,Indiana Pacers,-5.5,-128,5.5,-104,121,102,-1,1
11/28 9:58:23 am,Pinnacle,Utah Jazz,Indiana Pacers,-5.5,-121,5.5,-109,121,102,-1,1
11/28 9:58:20 am,Pinnacle,Utah Jazz,Indiana Pacers,-5.0,-119,5.0,-111,121,102,-1,1
11/28 9:58:16 am,Pinnacle,Utah Jazz,Indiana Pacers,-4.5,-119,4.5,-111,121,102,-1,1
11/28 9:57:53 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.0,-114,6.0,-116,121,102,-1,1
11/28 9:57:51 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-111,6.5,-119,121,102,-1,1
11/28 9:57:50 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-118,6.5,-113,121,102,-1,1
11/28 9:57:47 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-111,6.5,-119,121,102,-1,1
11/28 9:56:53 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-118,6.5,-113,121,102,-1,1
11/28 9:56:39 am,Pinnacle,Utah Jazz,Indiana Pacers,-6.5,-119,6.5,-111,121,102,-1,1
11/28 9:56:35 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-101,7.5,-131,121,102,-1,1
11/28 9:56:32 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-105,7.5,-126,121,102,-1,1
11/28 9:55:59 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-110,7.5,-121,121,102,-1,1
11/28 9:55:50 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-111,7.5,-119,121,102,-1,1
11/28 9:55:45 am,Pinnacle,Utah Jazz,Indiana Pacers,-7.5,-110,7.5,-121,121,102,-1,1
11/28 9:55:35 am,Pinnacle,Utah Jazz,Indiana Pacers,-8.0,-116,8.0,-114,121,102,-1,1
11/28 9:55:29 am,Pinnacle,Utah Jazz,Indiana Pacers,-8.0,-109,8.0,-121,121,102,-1,1
11/28 9:55:26 am,Pinnacle,Utah Jazz,Indiana Pacers,-8.0,-118,8.0,-112,121,102,-1,1
