Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/24 10:51:40 am,Pinnacle,Utah Jazz,Miami Heat,-4.5,-115,4.5,-101,107,104,-4.5,4.5
12/24 10:51:12 am,Pinnacle,Utah Jazz,Miami Heat,-4.5,-114,4.5,-102,107,104,-4.5,4.5
12/24 10:50:58 am,Pinnacle,Utah Jazz,Miami Heat,-4.5,-110,4.5,-106,107,104,-4.5,4.5
12/24 10:50:55 am,Pinnacle,Utah Jazz,Miami Heat,-4.5,-109,4.5,-107,107,104,-4.5,4.5
12/24 10:50:39 am,Pinnacle,Utah Jazz,Miami Heat,-4.5,-108,4.5,-108,107,104,-4.5,4.5
12/24 10:43:13 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,101,8.5,-118,107,104,-4.5,4.5
12/24 10:42:51 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,-105,8.5,-111,107,104,-4.5,4.5
12/24 10:42:46 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,-110,8.5,-106,107,104,-4.5,4.5
12/24 10:42:37 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,-102,8.5,-115,107,104,-4.5,4.5
12/24 10:42:31 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,-106,8.5,-110,107,104,-4.5,4.5
12/24 10:42:09 am,Pinnacle,Utah Jazz,Miami Heat,-8.5,-108,8.5,-108,107,104,-4.5,4.5
12/24 10:40:31 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,107,6.0,-125,107,104,-4.5,4.5
12/24 10:40:03 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,106,6.0,-124,107,104,-4.5,4.5
12/24 10:39:55 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,101,6.0,-118,107,104,-4.5,4.5
12/24 10:39:42 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,102,6.0,-119,107,104,-4.5,4.5
12/24 10:39:30 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,101,6.0,-117,107,104,-4.5,4.5
12/24 10:39:00 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,-101,6.0,-115,107,104,-4.5,4.5
12/24 10:38:55 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,-104,6.0,-112,107,104,-4.5,4.5
12/24 10:38:31 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,-105,6.0,-111,107,104,-4.5,4.5
12/24 10:37:51 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,-111,6.0,-119,107,104,-4.5,4.5
12/24 10:37:40 am,Pinnacle,Utah Jazz,Miami Heat,-6.0,-113,6.0,-118,107,104,-4.5,4.5
12/24 10:36:51 am,Pinnacle,Utah Jazz,Miami Heat,-5.0,-110,5.0,-121,107,104,-4.5,4.5
12/24 10:36:40 am,Pinnacle,Utah Jazz,Miami Heat,-5.0,-111,5.0,-120,107,104,-4.5,4.5
12/24 10:36:33 am,Pinnacle,Utah Jazz,Miami Heat,-3.5,-110,3.5,-121,107,104,-4.5,4.5
12/24 10:36:28 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-133,2.5,100,107,104,-4.5,4.5
12/24 10:36:19 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-116,2.5,-114,107,104,-4.5,4.5
12/24 10:36:16 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-113,2.5,-117,107,104,-4.5,4.5
12/24 10:36:12 am,Pinnacle,Utah Jazz,Miami Heat,-3.0,-110,3.0,-120,107,104,-4.5,4.5
12/24 10:36:03 am,Pinnacle,Utah Jazz,Miami Heat,-2.0,-110,2.0,-120,107,104,-4.5,4.5
12/24 10:35:57 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-120,1.0,-110,107,104,-4.5,4.5
12/24 10:35:33 am,Pinnacle,Utah Jazz,Miami Heat,-2.0,-118,2.0,-112,107,104,-4.5,4.5
12/24 10:34:45 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-121,2.5,-109,107,104,-4.5,4.5
12/24 10:34:28 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-135,2.5,102,107,104,-4.5,4.5
12/24 10:34:24 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-117,2.5,-113,107,104,-4.5,4.5
12/24 10:34:16 am,Pinnacle,Utah Jazz,Miami Heat,-3.5,-113,3.5,-118,107,104,-4.5,4.5
12/24 10:34:04 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-116,2.5,-114,107,104,-4.5,4.5
12/24 10:33:57 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-119,2.5,-111,107,104,-4.5,4.5
12/24 10:33:24 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-108,1.5,-122,107,104,-4.5,4.5
12/24 10:33:07 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,101,1.0,-134,107,104,-4.5,4.5
12/24 10:33:00 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-108,1.5,-123,107,104,-4.5,4.5
12/24 10:32:46 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-156,-1.0,117,107,104,-4.5,4.5
12/24 10:32:40 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-133,-1.0,100,107,104,-4.5,4.5
12/24 10:32:37 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-122,-1.0,-108,107,104,-4.5,4.5
12/24 10:32:21 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-109,-1.0,-122,107,104,-4.5,4.5
12/24 10:32:10 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-110,-1.0,-120,107,104,-4.5,4.5
12/24 10:31:57 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-113,-1.0,-117,107,104,-4.5,4.5
12/24 10:31:52 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-115,-1.0,-115,107,104,-4.5,4.5
12/24 10:31:42 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-113,-1.0,-117,107,104,-4.5,4.5
12/24 10:31:40 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-139,-2.0,105,107,104,-4.5,4.5
12/24 10:31:33 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,100,1.0,-132,107,104,-4.5,4.5
12/24 10:31:16 am,Pinnacle,Utah Jazz,Miami Heat,0.0,-106,0.0,-110,107,104,-4.5,4.5
12/24 10:30:09 am,Pinnacle,Utah Jazz,Miami Heat,0.0,-107,0.0,-109,107,104,-4.5,4.5
12/24 10:29:09 am,Pinnacle,Utah Jazz,Miami Heat,0.0,-108,0.0,-108,107,104,-4.5,4.5
12/24 10:28:24 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-100,1.0,-132,107,104,-4.5,4.5
12/24 10:28:15 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-115,-1.0,-115,107,104,-4.5,4.5
12/24 10:28:04 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-123,-2.0,-108,107,104,-4.5,4.5
12/24 10:27:51 am,Pinnacle,Utah Jazz,Miami Heat,1.5,103,-1.5,-137,107,104,-4.5,4.5
12/24 10:27:48 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-109,-1.5,-121,107,104,-4.5,4.5
12/24 10:27:45 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-101,-1.5,-131,107,104,-4.5,4.5
12/24 10:27:43 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-107,-1.5,-123,107,104,-4.5,4.5
12/24 10:27:31 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-122,-2.5,-109,107,104,-4.5,4.5
12/24 10:27:22 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-112,-3.0,-118,107,104,-4.5,4.5
12/24 10:27:16 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-108,-3.0,-123,107,104,-4.5,4.5
12/24 10:27:12 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-122,-3.0,-108,107,104,-4.5,4.5
12/24 10:26:58 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-122,-2.5,-108,107,104,-4.5,4.5
12/24 10:26:51 am,Pinnacle,Utah Jazz,Miami Heat,3.0,102,-3.0,-135,107,104,-4.5,4.5
12/24 10:26:34 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-112,-3.0,-118,107,104,-4.5,4.5
12/24 10:25:22 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-109,-3.5,-107,107,104,-4.5,4.5
12/24 10:25:12 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-105,-3.5,-111,107,104,-4.5,4.5
12/24 10:25:06 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-106,-3.5,-110,107,104,-4.5,4.5
12/24 10:24:58 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-107,-3.5,-109,107,104,-4.5,4.5
12/24 10:24:48 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-108,-3.5,-108,107,104,-4.5,4.5
12/24 10:24:46 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-107,-3.5,-109,107,104,-4.5,4.5
12/24 10:24:27 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-109,-3.5,-107,107,104,-4.5,4.5
12/24 10:23:50 am,Pinnacle,Utah Jazz,Miami Heat,4.0,-116,-4.0,-114,107,104,-4.5,4.5
12/24 10:23:33 am,Pinnacle,Utah Jazz,Miami Heat,4.5,-116,-4.5,-114,107,104,-4.5,4.5
12/24 10:23:28 am,Pinnacle,Utah Jazz,Miami Heat,4.0,-108,-4.0,-123,107,104,-4.5,4.5
12/24 10:23:19 am,Pinnacle,Utah Jazz,Miami Heat,3.5,102,-3.5,-135,107,104,-4.5,4.5
12/24 10:23:16 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-112,-3.5,-118,107,104,-4.5,4.5
12/24 10:23:13 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-116,-2.5,-114,107,104,-4.5,4.5
12/24 10:22:55 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-112,-3.0,-118,107,104,-4.5,4.5
12/24 10:22:52 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-122,-3.5,-108,107,104,-4.5,4.5
12/24 10:22:37 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-116,-3.5,-114,107,104,-4.5,4.5
12/24 10:22:28 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-123,-3.5,-108,107,104,-4.5,4.5
12/24 10:22:15 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-116,-3.5,-114,107,104,-4.5,4.5
12/24 10:22:12 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-115,-3.5,-115,107,104,-4.5,4.5
12/24 10:21:57 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-110,-2.5,-121,107,104,-4.5,4.5
12/24 10:21:55 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-108,-1.5,-123,107,104,-4.5,4.5
12/24 10:21:30 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-119,-3.0,-111,107,104,-4.5,4.5
12/24 10:21:28 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-112,-3.0,-118,107,104,-4.5,4.5
12/24 10:20:52 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-121,-3.5,-109,107,104,-4.5,4.5
12/24 10:20:46 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-119,-3.5,-111,107,104,-4.5,4.5
12/24 10:20:34 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-112,-2.5,-118,107,104,-4.5,4.5
12/24 10:20:28 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-113,-2.5,-117,107,104,-4.5,4.5
12/24 10:20:25 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-109,-2.0,-122,107,104,-4.5,4.5
12/24 10:20:16 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-109,-3.0,-122,107,104,-4.5,4.5
12/24 10:20:12 am,Pinnacle,Utah Jazz,Miami Heat,3.0,-110,-3.0,-120,107,104,-4.5,4.5
12/24 10:20:09 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-114,-3.5,-116,107,104,-4.5,4.5
12/24 10:20:06 am,Pinnacle,Utah Jazz,Miami Heat,2.5,104,-2.5,-137,107,104,-4.5,4.5
12/24 10:20:03 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-114,-2.5,-116,107,104,-4.5,4.5
12/24 10:19:58 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-109,-1.5,-121,107,104,-4.5,4.5
12/24 10:19:43 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-110,-2.5,-120,107,104,-4.5,4.5
12/24 10:19:39 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-111,-2.0,-119,107,104,-4.5,4.5
12/24 10:19:03 am,Pinnacle,Utah Jazz,Miami Heat,2.5,-118,-2.5,-112,107,104,-4.5,4.5
12/24 10:18:57 am,Pinnacle,Utah Jazz,Miami Heat,3.5,-119,-3.5,-111,107,104,-4.5,4.5
12/24 10:18:55 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-111,-2.0,-119,107,104,-4.5,4.5
12/24 10:18:18 am,Pinnacle,Utah Jazz,Miami Heat,2.0,-109,-2.0,-121,107,104,-4.5,4.5
12/24 10:18:12 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-109,-1.5,-122,107,104,-4.5,4.5
12/24 10:17:55 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-105,1.0,-126,107,104,-4.5,4.5
12/24 10:17:33 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-116,-1.0,-114,107,104,-4.5,4.5
12/24 10:16:09 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,100,1.0,-117,107,104,-4.5,4.5
12/24 10:15:42 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-100,1.0,-116,107,104,-4.5,4.5
12/24 10:14:33 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,102,1.0,-119,107,104,-4.5,4.5
12/24 10:14:12 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-107,1.0,-124,107,104,-4.5,4.5
12/24 10:14:00 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-108,1.0,-122,107,104,-4.5,4.5
12/24 10:13:57 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-116,-1.0,-114,107,104,-4.5,4.5
12/24 10:13:31 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-124,-1.0,-106,107,104,-4.5,4.5
12/24 10:13:24 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-129,-1.0,-103,107,104,-4.5,4.5
12/24 10:12:45 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-106,1.0,-125,107,104,-4.5,4.5
12/24 10:12:44 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-118,1.5,-112,107,104,-4.5,4.5
12/24 10:12:43 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-106,1.0,-125,107,104,-4.5,4.5
12/24 10:12:33 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-118,1.5,-112,107,104,-4.5,4.5
12/24 10:12:09 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-113,1.5,-117,107,104,-4.5,4.5
12/24 10:12:06 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-107,1.0,-124,107,104,-4.5,4.5
12/24 10:11:58 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-106,1.0,-125,107,104,-4.5,4.5
12/24 10:11:48 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-110,1.5,-120,107,104,-4.5,4.5
12/24 10:11:24 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-101,1.0,-131,107,104,-4.5,4.5
12/24 10:11:19 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-129,-1.0,-103,107,104,-4.5,4.5
12/24 10:10:39 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-120,-1.0,-110,107,104,-4.5,4.5
12/24 10:10:37 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-115,-1.0,-115,107,104,-4.5,4.5
12/24 10:10:34 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-115,-1.5,-115,107,104,-4.5,4.5
12/24 10:09:55 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-122,-1.0,-108,107,104,-4.5,4.5
12/24 10:09:39 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-115,-1.5,-115,107,104,-4.5,4.5
12/24 10:09:27 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-122,-1.0,-109,107,104,-4.5,4.5
12/24 10:09:22 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-114,-1.5,-116,107,104,-4.5,4.5
12/24 10:09:15 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-125,-1.0,-106,107,104,-4.5,4.5
12/24 10:08:54 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-115,-1.5,-115,107,104,-4.5,4.5
12/24 10:08:39 am,Pinnacle,Utah Jazz,Miami Heat,1.0,-125,-1.0,-106,107,104,-4.5,4.5
12/24 10:08:33 am,Pinnacle,Utah Jazz,Miami Heat,1.5,-117,-1.5,-113,107,104,-4.5,4.5
12/24 10:08:19 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-120,1.0,-111,107,104,-4.5,4.5
12/24 10:08:15 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-115,1.0,-115,107,104,-4.5,4.5
12/24 10:08:13 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-110,1.0,-120,107,104,-4.5,4.5
12/24 10:08:11 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-101,1.0,-131,107,104,-4.5,4.5
12/24 10:07:55 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-104,1.0,-127,107,104,-4.5,4.5
12/24 10:07:22 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-109,1.0,-121,107,104,-4.5,4.5
12/24 10:07:10 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-116,1.5,-114,107,104,-4.5,4.5
12/24 10:07:07 am,Pinnacle,Utah Jazz,Miami Heat,-1.0,-121,1.0,-110,107,104,-4.5,4.5
12/24 10:06:45 am,Pinnacle,Utah Jazz,Miami Heat,-2.0,-121,2.0,-110,107,104,-4.5,4.5
12/24 10:06:43 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-118,2.5,-112,107,104,-4.5,4.5
12/24 10:06:28 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-120,1.5,-111,107,104,-4.5,4.5
12/24 10:06:16 am,Pinnacle,Utah Jazz,Miami Heat,-3.0,-112,3.0,-118,107,104,-4.5,4.5
12/24 10:06:30 am,Pinnacle,Utah Jazz,Miami Heat,-1.5,-118,1.5,-112,107,104,-4.5,4.5
12/24 10:03:49 am,Pinnacle,Utah Jazz,Miami Heat,-3.0,-113,3.0,-103,107,104,-4.5,4.5
12/24 10:02:16 am,Pinnacle,Utah Jazz,Miami Heat,-3.0,-113,3.0,-117,107,104,-4.5,4.5
12/24 10:02:04 am,Pinnacle,Utah Jazz,Miami Heat,-2.0,-121,2.0,-109,107,104,-4.5,4.5
12/24 10:02:00 am,Pinnacle,Utah Jazz,Miami Heat,-2.5,-117,2.5,-113,107,104,-4.5,4.5
