Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/17 11:37:08 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-108,-2.5,-108,138,132,5,-5
1/17 11:36:53 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-107,-2.5,-109,138,132,5,-5
1/17 11:36:07 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-113,-2.5,-103,138,132,5,-5
1/17 11:35:21 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-110,-2.5,-106,138,132,5,-5
1/17 11:34:37 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-108,-2.5,-108,138,132,5,-5
1/17 11:33:46 am,Pinnacle,Utah Jazz,New Orleans Pelicans,2.5,-117,-2.5,100,138,132,5,-5
1/17 11:29:29 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-2000,0.0,1062,138,132,5,-5
1/17 11:29:16 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1664,0.0,951,138,132,5,-5
1/17 11:28:59 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1500,0.0,890,138,132,5,-5
1/17 11:28:54 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1039,0.0,692,138,132,5,-5
1/17 11:28:53 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1000,0.0,673,138,132,5,-5
1/17 11:28:52 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1039,0.0,692,138,132,5,-5
1/17 11:28:43 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,-1000,0.0,673,138,132,5,-5
1/17 11:27:13 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,161,0.0,-190,138,132,5,-5
1/17 11:26:38 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,166,0.0,-196,138,132,5,-5
1/17 11:26:25 am,Pinnacle,Utah Jazz,New Orleans Pelicans,0.0,161,0.0,-190,138,132,5,-5
