Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/27 9:34:49 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-111,16.5,-105,152,133,-1,1
1/27 9:31:09 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-110,16.5,-106,152,133,-1,1
1/27 9:30:54 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-109,16.5,-107,152,133,-1,1
1/27 9:30:12 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-108,16.5,-108,152,133,-1,1
1/27 9:28:25 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-116,14.5,-114,152,133,-1,1
1/27 9:28:13 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-116,14.5,-114,152,133,-1,1
1/27 9:27:16 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-121,15.5,-109,152,133,-1,1
1/27 9:26:58 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-120,17.0,-110,152,133,-1,1
1/27 9:26:53 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-120,16.5,-110,152,133,-1,1
1/27 9:26:46 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-109,16.5,-121,152,133,-1,1
1/27 9:26:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-110,16.5,-121,152,133,-1,1
1/27 9:26:17 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-118,15.5,-112,152,133,-1,1
1/27 9:25:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-110,15.5,-106,152,133,-1,1
1/27 9:25:43 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-111,15.5,-105,152,133,-1,1
1/27 9:25:10 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-111,15.5,-105,152,133,-1,1
1/27 9:24:37 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-111,15.5,-105,152,133,-1,1
1/27 9:24:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-119,15.5,-111,152,133,-1,1
1/27 9:24:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-109,16.5,-122,152,133,-1,1
1/27 9:24:13 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-109,17.5,-122,152,133,-1,1
1/27 9:24:01 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.0,-110,18.0,-121,152,133,-1,1
1/27 9:23:58 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.0,-109,18.0,-121,152,133,-1,1
1/27 9:23:44 am,Pinnacle,Washington Wizards,Atlanta Hawks,-19.5,-115,19.5,-115,152,133,-1,1
1/27 9:23:41 am,Pinnacle,Washington Wizards,Atlanta Hawks,-19.0,-111,19.0,-119,152,133,-1,1
1/27 9:23:37 am,Pinnacle,Washington Wizards,Atlanta Hawks,-19.0,-111,19.0,-119,152,133,-1,1
1/27 9:23:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.0,-108,18.0,-123,152,133,-1,1
1/27 9:23:22 am,Pinnacle,Washington Wizards,Atlanta Hawks,-19.0,-110,19.0,-120,152,133,-1,1
1/27 9:23:11 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-121,17.5,-109,152,133,-1,1
1/27 9:23:01 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-111,17.5,-120,152,133,-1,1
1/27 9:22:44 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-123,17.0,-108,152,133,-1,1
1/27 9:22:40 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-114,17.0,-116,152,133,-1,1
1/27 9:22:20 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-121,17.0,-109,152,133,-1,1
1/27 9:22:05 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-116,16.0,-114,152,133,-1,1
1/27 9:21:58 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-114,17.0,-116,152,133,-1,1
1/27 9:21:52 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-110,16.0,-120,152,133,-1,1
1/27 9:21:37 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-116,17.0,-114,152,133,-1,1
1/27 9:21:35 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-112,17.5,-118,152,133,-1,1
1/27 9:21:14 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-115,17.5,-115,152,133,-1,1
1/27 9:21:08 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-114,17.5,-116,152,133,-1,1
1/27 9:19:56 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-107,17.5,-109,152,133,-1,1
1/27 9:19:19 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-107,17.5,-109,152,133,-1,1
1/27 9:19:13 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-106,17.5,-110,152,133,-1,1
1/27 9:19:04 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-106,17.5,-110,152,133,-1,1
1/27 9:18:49 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-106,17.5,-110,152,133,-1,1
1/27 9:18:46 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-104,17.5,-112,152,133,-1,1
1/27 9:18:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-104,17.5,-112,152,133,-1,1
1/27 9:20:31 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-107,17.5,-109,152,133,-1,1
1/27 9:18:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-104,17.5,-112,152,133,-1,1
1/27 9:18:25 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-104,17.5,-112,152,133,-1,1
1/27 9:18:16 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-104,17.5,-112,152,133,-1,1
1/27 9:18:07 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-111,17.5,-119,152,133,-1,1
1/27 9:17:56 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-120,15.5,-110,152,133,-1,1
1/27 9:17:53 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-117,15.0,-113,152,133,-1,1
1/27 9:17:43 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.0,-112,14.0,-118,152,133,-1,1
1/27 9:17:41 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-116,15.0,-114,152,133,-1,1
1/27 9:17:17 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-116,15.0,-114,152,133,-1,1
1/27 9:17:08 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-115,15.0,-115,152,133,-1,1
1/27 9:16:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-113,13.5,-103,152,133,-1,1
1/27 9:15:20 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-112,13.5,-105,152,133,-1,1
1/27 9:14:43 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-111,13.5,-105,152,133,-1,1
1/27 9:14:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-112,13.5,-105,152,133,-1,1
1/27 9:13:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-111,13.5,-105,152,133,-1,1
1/27 9:13:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.0,-109,14.0,-121,152,133,-1,1
1/27 9:13:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.0,-109,14.0,-122,152,133,-1,1
1/27 9:13:22 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.0,-110,14.0,-121,152,133,-1,1
1/27 9:12:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-113,15.0,-117,152,133,-1,1
1/27 9:12:49 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-114,15.5,-116,152,133,-1,1
1/27 9:12:23 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-114,15.5,-116,152,133,-1,1
1/27 9:12:08 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-114,15.5,-116,152,133,-1,1
1/27 9:11:58 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-114,15.5,-116,152,133,-1,1
1/27 9:11:52 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-116,15.5,-114,152,133,-1,1
1/27 9:11:44 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-117,16.5,-113,152,133,-1,1
1/27 9:11:23 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-117,16.5,-113,152,133,-1,1
1/27 9:11:14 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-113,15.5,-118,152,133,-1,1
1/27 9:11:07 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-112,15.5,-118,152,133,-1,1
1/27 9:10:46 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-121,14.5,-109,152,133,-1,1
1/27 9:10:43 am,Pinnacle,Washington Wizards,Atlanta Hawks,-13.5,-117,13.5,-113,152,133,-1,1
1/27 9:10:32 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-110,15.0,-120,152,133,-1,1
1/27 9:10:29 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.0,-119,15.0,-111,152,133,-1,1
1/27 9:09:49 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-110,15.5,-121,152,133,-1,1
1/27 9:09:34 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-119,14.5,-111,152,133,-1,1
1/27 9:09:13 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-111,14.5,-105,152,133,-1,1
1/27 9:09:05 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-111,14.5,-105,152,133,-1,1
1/27 9:08:56 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-110,14.5,-106,152,133,-1,1
1/27 9:06:46 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-110,14.5,-106,152,133,-1,1
1/27 9:06:44 am,Pinnacle,Washington Wizards,Atlanta Hawks,-14.5,-118,14.5,-112,152,133,-1,1
1/27 9:06:35 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-118,17.0,-112,152,133,-1,1
1/27 9:06:19 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-116,16.5,-114,152,133,-1,1
1/27 9:06:08 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-120,16.0,-110,152,133,-1,1
1/27 9:05:01 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-115,15.5,-115,152,133,-1,1
1/27 9:04:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-117,16.0,-113,152,133,-1,1
1/27 9:04:38 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-116,16.0,-114,152,133,-1,1
1/27 9:04:37 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-112,16.5,-118,152,133,-1,1
1/27 9:04:25 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-116,17.0,-114,152,133,-1,1
1/27 9:03:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-115,16.5,-115,152,133,-1,1
1/27 9:03:49 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.0,-113,16.0,-117,152,133,-1,1
1/27 9:03:46 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-113,16.5,-117,152,133,-1,1
1/27 9:03:29 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-114,16.5,-116,152,133,-1,1
1/27 9:03:18 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-120,17.5,-110,152,133,-1,1
1/27 9:03:04 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-116,17.5,-114,152,133,-1,1
1/27 9:02:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-121,17.0,-109,152,133,-1,1
1/27 9:02:40 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-119,17.0,-111,152,133,-1,1
1/27 9:02:37 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-111,17.0,-119,152,133,-1,1
1/27 9:02:13 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-121,16.5,-110,152,133,-1,1
1/27 9:02:07 am,Pinnacle,Washington Wizards,Atlanta Hawks,-15.5,-117,15.5,-113,152,133,-1,1
1/27 9:01:58 am,Pinnacle,Washington Wizards,Atlanta Hawks,-16.5,-122,16.5,-109,152,133,-1,1
1/27 9:01:55 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-117,17.0,-113,152,133,-1,1
1/27 9:01:28 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-120,17.0,-110,152,133,-1,1
1/27 9:01:25 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.0,-121,17.0,-109,152,133,-1,1
1/27 9:01:20 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.5,-110,18.5,-121,152,133,-1,1
1/27 9:01:10 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.5,-114,18.5,-116,152,133,-1,1
1/27 9:01:07 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.5,-110,18.5,-120,152,133,-1,1
1/27 9:00:53 am,Pinnacle,Washington Wizards,Atlanta Hawks,-19.0,-113,19.0,-117,152,133,-1,1
1/27 9:00:40 am,Pinnacle,Washington Wizards,Atlanta Hawks,-18.5,-112,18.5,-118,152,133,-1,1
1/27 9:00:31 am,Pinnacle,Washington Wizards,Atlanta Hawks,-17.5,-110,17.5,-120,152,133,-1,1
