Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/14 10:45:17 am,Pinnacle,Washington Wizards,Boston Celtics,-13.0,-127,13.0,-104,140,133,-7,7
11/14 10:45:07 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-125,12.0,-106,140,133,-7,7
11/14 10:45:05 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-126,12.0,-105,140,133,-7,7
11/14 10:44:57 am,Pinnacle,Washington Wizards,Boston Celtics,-11.5,-120,11.5,-111,140,133,-7,7
11/14 10:44:49 am,Pinnacle,Washington Wizards,Boston Celtics,-10.5,-121,10.5,-109,140,133,-7,7
11/14 10:44:40 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-105,12.0,-126,140,133,-7,7
11/14 10:44:28 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-102,12.5,-129,140,133,-7,7
11/14 10:44:16 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-112,12.5,-118,140,133,-7,7
11/14 10:44:13 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-120,12.0,-110,140,133,-7,7
11/14 10:44:05 am,Pinnacle,Washington Wizards,Boston Celtics,-13.0,-120,13.0,-110,140,133,-7,7
11/14 10:43:58 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-121,14.0,-109,140,133,-7,7
11/14 10:43:32 am,Pinnacle,Washington Wizards,Boston Celtics,-13.0,-111,13.0,-120,140,133,-7,7
11/14 10:43:01 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-104,13.5,-127,140,133,-7,7
11/14 10:42:58 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-114,13.5,-116,140,133,-7,7
11/14 10:42:55 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-104,13.5,-127,140,133,-7,7
11/14 10:42:52 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-114,13.5,-116,140,133,-7,7
11/14 10:42:50 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-118,14.0,-112,140,133,-7,7
11/14 10:42:43 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-124,14.0,-107,140,133,-7,7
11/14 10:42:38 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-115,12.5,-115,140,133,-7,7
11/14 10:42:34 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-121,12.5,-110,140,133,-7,7
11/14 10:42:25 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-120,12.5,-110,140,133,-7,7
11/14 10:42:10 am,Pinnacle,Washington Wizards,Boston Celtics,-14.5,-106,14.5,-125,140,133,-7,7
11/14 10:42:08 am,Pinnacle,Washington Wizards,Boston Celtics,-15.5,-106,15.5,-124,140,133,-7,7
11/14 10:41:58 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-110,14.0,-120,140,133,-7,7
11/14 10:41:46 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-116,14.0,-114,140,133,-7,7
11/14 10:41:37 am,Pinnacle,Washington Wizards,Boston Celtics,-14.0,-108,14.0,-122,140,133,-7,7
11/14 10:41:16 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-113,13.5,-117,140,133,-7,7
11/14 10:41:08 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-116,13.5,-114,140,133,-7,7
11/14 10:41:02 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-122,13.5,-109,140,133,-7,7
11/14 10:40:52 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-114,12.5,-116,140,133,-7,7
11/14 10:40:50 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-121,12.5,-109,140,133,-7,7
11/14 10:40:46 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-118,13.5,-112,140,133,-7,7
11/14 10:40:43 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-109,12.5,-122,140,133,-7,7
11/14 10:40:35 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-111,12.5,-119,140,133,-7,7
11/14 10:40:28 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-105,12.5,-126,140,133,-7,7
11/14 10:40:20 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-112,12.5,-118,140,133,-7,7
11/14 10:40:07 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-124,12.0,-107,140,133,-7,7
11/14 10:39:22 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,103,12.0,-137,140,133,-7,7
11/14 10:39:19 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-106,12.0,-125,140,133,-7,7
11/14 10:39:14 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-111,12.0,-119,140,133,-7,7
11/14 10:39:07 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-113,12.0,-117,140,133,-7,7
11/14 10:39:04 am,Pinnacle,Washington Wizards,Boston Celtics,-11.0,-116,11.0,-114,140,133,-7,7
11/14 10:38:58 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-111,12.0,-119,140,133,-7,7
11/14 10:38:53 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-120,12.0,-111,140,133,-7,7
11/14 10:38:46 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-121,12.0,-110,140,133,-7,7
11/14 10:38:40 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-111,12.5,-120,140,133,-7,7
11/14 10:38:07 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-122,12.5,-108,140,133,-7,7
11/14 10:38:04 am,Pinnacle,Washington Wizards,Boston Celtics,-13.5,-121,13.5,-109,140,133,-7,7
11/14 10:37:55 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-112,12.5,-118,140,133,-7,7
11/14 10:37:53 am,Pinnacle,Washington Wizards,Boston Celtics,-12.5,-114,12.5,-116,140,133,-7,7
11/14 10:37:35 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-113,12.0,-117,140,133,-7,7
11/14 10:37:19 am,Pinnacle,Washington Wizards,Boston Celtics,-12.0,-115,12.0,-115,140,133,-7,7
11/14 10:37:16 am,Pinnacle,Washington Wizards,Boston Celtics,-11.0,-116,11.0,-114,140,133,-7,7
11/14 10:37:04 am,Pinnacle,Washington Wizards,Boston Celtics,-11.0,-117,11.0,-113,140,133,-7,7
11/14 10:36:52 am,Pinnacle,Washington Wizards,Boston Celtics,-9.5,-119,9.5,-111,140,133,-7,7
