Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/24 11:00:13 am,Pinnacle,Washington Wizards,Dallas Mavericks,-9.0,-109,9.0,-107,108,100,-9,9
10/24 10:56:56 am,Pinnacle,Washington Wizards,Dallas Mavericks,-12.0,-116,12.0,-101,108,100,-9,9
10/24 10:55:40 am,Pinnacle,Washington Wizards,Dallas Mavericks,-12.0,-109,12.0,-107,108,100,-9,9
10/24 10:55:17 am,Pinnacle,Washington Wizards,Dallas Mavericks,-11.5,-108,11.5,-108,108,100,-9,9
10/24 10:49:47 am,Pinnacle,Washington Wizards,Dallas Mavericks,-14.0,-136,14.0,-115,108,100,-9,9
10/24 10:49:43 am,Pinnacle,Washington Wizards,Dallas Mavericks,-14.0,-118,14.0,-132,108,100,-9,9
10/24 10:49:38 am,Pinnacle,Washington Wizards,Dallas Mavericks,-13.5,-118,13.5,-132,108,100,-9,9
10/24 10:49:10 am,Pinnacle,Washington Wizards,Dallas Mavericks,-12.5,-125,12.5,-125,108,100,-9,9
10/24 10:49:05 am,Pinnacle,Washington Wizards,Dallas Mavericks,-13.5,-117,13.5,-134,108,100,-9,9
10/24 10:48:56 am,Pinnacle,Washington Wizards,Dallas Mavericks,-14.5,-114,14.5,-137,108,100,-9,9
10/24 10:48:51 am,Pinnacle,Washington Wizards,Dallas Mavericks,-13.5,-116,13.5,-135,108,100,-9,9
10/24 10:48:33 am,Pinnacle,Washington Wizards,Dallas Mavericks,-14.5,-126,14.5,-124,108,100,-9,9
10/24 10:48:23 am,Pinnacle,Washington Wizards,Dallas Mavericks,-14.5,-136,14.5,-115,108,100,-9,9
10/24 10:48:00 am,Pinnacle,Washington Wizards,Dallas Mavericks,-15.0,-129,15.0,-121,108,100,-9,9
10/24 10:47:50 am,Pinnacle,Washington Wizards,Dallas Mavericks,-16.0,-132,16.0,-118,108,100,-9,9
10/24 10:47:41 am,Pinnacle,Washington Wizards,Dallas Mavericks,-16.0,-131,16.0,-119,108,100,-9,9
10/24 10:47:37 am,Pinnacle,Washington Wizards,Dallas Mavericks,-18.0,-119,18.0,-131,108,100,-9,9
10/24 10:47:32 am,Pinnacle,Washington Wizards,Dallas Mavericks,-18.0,-118,18.0,-133,108,100,-9,9
10/24 10:47:13 am,Pinnacle,Washington Wizards,Dallas Mavericks,-17.0,-127,17.0,-123,108,100,-9,9
10/24 10:47:08 am,Pinnacle,Washington Wizards,Dallas Mavericks,-18.0,-121,18.0,-130,108,100,-9,9
10/24 10:47:03 am,Pinnacle,Washington Wizards,Dallas Mavericks,-18.5,-119,18.5,-132,108,100,-9,9
10/24 10:46:54 am,Pinnacle,Washington Wizards,Dallas Mavericks,-19.0,-119,19.0,-132,108,100,-9,9
