Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/27 12:07:15 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-124,14.0,106,117,104,-10.5,10.5
11/27 12:06:48 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-125,14.0,107,117,104,-10.5,10.5
11/27 12:06:20 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-124,14.0,106,117,104,-10.5,10.5
11/27 12:06:13 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-126,14.0,108,117,104,-10.5,10.5
11/27 12:05:57 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-124,14.0,106,117,104,-10.5,10.5
11/27 12:05:54 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-107,14.0,-109,117,104,-10.5,10.5
11/27 12:05:51 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-106,14.0,-110,117,104,-10.5,10.5
11/27 12:05:45 pm,Pinnacle,Washington Wizards,Denver Nuggets,-14.0,-105,14.0,-111,117,104,-10.5,10.5
11/27 12:01:15 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,131,17.5,-154,117,104,-10.5,10.5
11/27 12:01:00 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,130,17.5,-153,117,104,-10.5,10.5
11/27 12:00:45 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,130,17.5,-152,117,104,-10.5,10.5
11/27 12:00:39 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,131,17.5,-153,117,104,-10.5,10.5
11/27 12:00:27 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,134,17.5,-157,117,104,-10.5,10.5
11/27 12:00:21 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,135,17.5,-158,117,104,-10.5,10.5
11/27 12:00:09 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,136,17.5,-159,117,104,-10.5,10.5
11/27 12:00:06 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,137,17.5,-161,117,104,-10.5,10.5
11/27 12:00:00 pm,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,126,17.5,-147,117,104,-10.5,10.5
11/27 11:59:54 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,124,17.5,-145,117,104,-10.5,10.5
11/27 11:59:51 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,124,17.5,-146,117,104,-10.5,10.5
11/27 11:59:48 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,121,17.5,-141,117,104,-10.5,10.5
11/27 11:59:45 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,120,17.5,-140,117,104,-10.5,10.5
11/27 11:59:39 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,117,17.5,-136,117,104,-10.5,10.5
11/27 11:59:33 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,112,17.5,-131,117,104,-10.5,10.5
11/27 11:59:27 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,111,17.5,-130,117,104,-10.5,10.5
11/27 11:59:24 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,106,17.5,-124,117,104,-10.5,10.5
11/27 11:59:18 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,105,17.5,-123,117,104,-10.5,10.5
11/27 11:59:15 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,100,17.5,-117,117,104,-10.5,10.5
11/27 11:59:12 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-103,17.5,-114,117,104,-10.5,10.5
11/27 11:59:08 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-104,17.5,-113,117,104,-10.5,10.5
11/27 11:59:06 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-108,17.5,-108,117,104,-10.5,10.5
11/27 11:59:00 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-112,17.5,-104,117,104,-10.5,10.5
11/27 11:58:57 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-117,17.5,-100,117,104,-10.5,10.5
11/27 11:58:30 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-122,17.5,-108,117,104,-10.5,10.5
11/27 11:58:27 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-104,16.5,-127,117,104,-10.5,10.5
11/27 11:58:15 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-110,16.5,-120,117,104,-10.5,10.5
11/27 11:58:12 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-123,16.0,-108,117,104,-10.5,10.5
11/27 11:57:43 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-111,16.0,-120,117,104,-10.5,10.5
11/27 11:57:39 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-111,16.0,-119,117,104,-10.5,10.5
11/27 11:57:30 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-110,16.5,-120,117,104,-10.5,10.5
11/27 11:57:24 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-124,16.5,-107,117,104,-10.5,10.5
11/27 11:57:18 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-112,16.0,-118,117,104,-10.5,10.5
11/27 11:57:09 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-113,16.0,-117,117,104,-10.5,10.5
11/27 11:57:05 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-110,17.5,-120,117,104,-10.5,10.5
11/27 11:57:03 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-119,17.5,-111,117,104,-10.5,10.5
11/27 11:57:00 am,Pinnacle,Washington Wizards,Denver Nuggets,-18.5,-115,18.5,-115,117,104,-10.5,10.5
11/27 11:56:57 am,Pinnacle,Washington Wizards,Denver Nuggets,-18.5,-122,18.5,-108,117,104,-10.5,10.5
11/27 11:56:39 am,Pinnacle,Washington Wizards,Denver Nuggets,-18.5,-123,18.5,-108,117,104,-10.5,10.5
11/27 11:56:30 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.5,-119,17.5,-111,117,104,-10.5,10.5
11/27 11:56:27 am,Pinnacle,Washington Wizards,Denver Nuggets,-18.5,-124,18.5,-107,117,104,-10.5,10.5
11/27 11:56:20 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-131,16.5,-101,117,104,-10.5,10.5
11/27 11:56:02 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.5,-125,16.5,-106,117,104,-10.5,10.5
11/27 11:56:00 am,Pinnacle,Washington Wizards,Denver Nuggets,-17.0,-115,17.0,-115,117,104,-10.5,10.5
11/27 11:55:51 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-115,16.0,-115,117,104,-10.5,10.5
11/27 11:55:27 am,Pinnacle,Washington Wizards,Denver Nuggets,-16.0,-114,16.0,-116,117,104,-10.5,10.5
11/27 11:55:24 am,Pinnacle,Washington Wizards,Denver Nuggets,-15.5,-115,15.5,-115,117,104,-10.5,10.5
11/27 11:55:21 am,Pinnacle,Washington Wizards,Denver Nuggets,-15.0,-124,15.0,-107,117,104,-10.5,10.5
11/27 11:55:18 am,Pinnacle,Washington Wizards,Denver Nuggets,-15.0,-115,15.0,-115,117,104,-10.5,10.5
