Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/2 1:44:45 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-27.5,-120,27.5,-111,150,125,-12.5,12.5
12/2 1:44:42 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-26.5,-120,26.5,-110,150,125,-12.5,12.5
12/2 1:44:36 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-26.5,-112,26.5,-118,150,125,-12.5,12.5
12/2 1:44:33 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-26.5,-111,26.5,-119,150,125,-12.5,12.5
12/2 1:44:30 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-26.5,-123,26.5,-108,150,125,-12.5,12.5
12/2 1:44:27 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-25.5,-123,25.5,-108,150,125,-12.5,12.5
12/2 1:44:21 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-24.5,-119,24.5,-111,150,125,-12.5,12.5
12/2 1:44:12 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-24.5,-121,24.5,-109,150,125,-12.5,12.5
12/2 1:44:03 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-24.0,-114,24.0,-116,150,125,-12.5,12.5
12/2 1:44:00 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-23.0,-106,23.0,-124,150,125,-12.5,12.5
12/2 1:43:57 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-22.5,-125,22.5,-106,150,125,-12.5,12.5
12/2 1:42:21 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-23.0,-101,23.0,-115,150,125,-12.5,12.5
12/2 1:42:18 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-23.0,-102,23.0,-114,150,125,-12.5,12.5
12/2 1:41:57 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-23.0,-100,23.0,-116,150,125,-12.5,12.5
12/2 1:41:39 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-23.0,-102,23.0,-115,150,125,-12.5,12.5
12/2 1:41:03 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-22.5,-103,22.5,-129,150,125,-12.5,12.5
12/2 1:41:00 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-22.5,-125,22.5,-106,150,125,-12.5,12.5
12/2 1:40:57 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-22.0,-109,22.0,-121,150,125,-12.5,12.5
12/2 1:40:54 pm,Pinnacle,Washington Wizards,Los Angeles Clippers,-22.0,-117,22.0,-113,150,125,-12.5,12.5
