Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/15 11:16:16 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-20.0,-115,20.0,-101,128,111,-1,1
12/15 11:10:27 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-17.0,-109,17.0,-107,128,111,-1,1
12/15 11:10:06 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-17.0,-104,17.0,-112,128,111,-1,1
12/15 11:09:18 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-16.5,-125,16.5,-106,128,111,-1,1
12/15 11:09:00 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-16.0,-114,16.0,-116,128,111,-1,1
12/15 11:06:59 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-15.5,-105,15.5,-111,128,111,-1,1
12/15 8:36:15 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-1.5,-107,1.5,-103,128,111,-1,1
12/15 8:35:57 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-1.0,-112,1.0,102,128,111,-1,1
12/15 8:34:02 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-1.0,-111,1.0,101,128,111,-1,1
12/15 8:33:42 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-1.0,-111,1.0,100,128,111,-1,1
12/15 8:25:39 am,Pinnacle,Washington Wizards,Memphis Grizzlies,-1.0,-103,1.0,-107,128,111,-1,1
