Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/7 11:16:00 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-124,7.5,106,112,103,-9.5,9.5
12/7 11:15:53 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-130,7.5,111,112,103,-9.5,9.5
12/7 11:15:46 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-107,7.5,-109,112,103,-9.5,9.5
12/7 11:15:37 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-103,7.5,-113,112,103,-9.5,9.5
12/7 11:15:26 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-108,7.5,-108,112,103,-9.5,9.5
12/7 11:09:51 am,Pinnacle,Washington Wizards,Miami Heat,-6.0,101,6.0,-118,112,103,-9.5,9.5
12/7 11:09:36 am,Pinnacle,Washington Wizards,Miami Heat,-6.0,100,6.0,-117,112,103,-9.5,9.5
12/7 11:09:15 am,Pinnacle,Washington Wizards,Miami Heat,-6.0,-103,6.0,-113,112,103,-9.5,9.5
12/7 11:09:02 am,Pinnacle,Washington Wizards,Miami Heat,-6.0,-105,6.0,-111,112,103,-9.5,9.5
12/7 11:03:35 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-105,6.5,-111,112,103,-9.5,9.5
12/7 11:02:28 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-107,6.5,-109,112,103,-9.5,9.5
12/7 11:02:20 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-109,6.5,-107,112,103,-9.5,9.5
12/7 11:02:05 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-111,6.5,-105,112,103,-9.5,9.5
12/7 11:01:51 am,Pinnacle,Washington Wizards,Miami Heat,-6.0,-117,6.0,-113,112,103,-9.5,9.5
12/7 11:01:44 am,Pinnacle,Washington Wizards,Miami Heat,-7.0,-108,7.0,-122,112,103,-9.5,9.5
12/7 11:01:36 am,Pinnacle,Washington Wizards,Miami Heat,-7.0,-109,7.0,-121,112,103,-9.5,9.5
12/7 11:01:22 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-127,7.5,-104,112,103,-9.5,9.5
12/7 11:01:15 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-116,7.5,-114,112,103,-9.5,9.5
12/7 11:01:01 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-126,6.5,-105,112,103,-9.5,9.5
12/7 11:00:47 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-114,7.5,-116,112,103,-9.5,9.5
12/7 11:00:33 am,Pinnacle,Washington Wizards,Miami Heat,-6.5,-125,6.5,-105,112,103,-9.5,9.5
12/7 11:00:23 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-119,7.5,-111,112,103,-9.5,9.5
12/7 11:00:17 am,Pinnacle,Washington Wizards,Miami Heat,-7.5,-117,7.5,-113,112,103,-9.5,9.5
12/7 11:00:02 am,Pinnacle,Washington Wizards,Miami Heat,-8.0,-123,8.0,-108,112,103,-9.5,9.5
12/7 10:58:07 am,Pinnacle,Washington Wizards,Miami Heat,-8.5,-110,8.5,-106,112,103,-9.5,9.5
12/7 10:57:53 am,Pinnacle,Washington Wizards,Miami Heat,-8.5,-111,8.5,-105,112,103,-9.5,9.5
12/7 10:57:40 am,Pinnacle,Washington Wizards,Miami Heat,-8.5,-109,8.5,-107,112,103,-9.5,9.5
12/7 10:57:25 am,Pinnacle,Washington Wizards,Miami Heat,-8.0,-123,8.0,-107,112,103,-9.5,9.5
12/7 10:57:11 am,Pinnacle,Washington Wizards,Miami Heat,-8.5,-109,8.5,-107,112,103,-9.5,9.5
12/7 10:57:04 am,Pinnacle,Washington Wizards,Miami Heat,-8.0,-126,8.0,-105,112,103,-9.5,9.5
