Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/16 11:24:38 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,142,17.5,-167,116,137,-5.5,5.5
11/16 11:24:35 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,137,17.5,-161,116,137,-5.5,5.5
11/16 11:24:30 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,134,17.5,-157,116,137,-5.5,5.5
11/16 11:24:23 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,129,17.5,-151,116,137,-5.5,5.5
11/16 11:24:14 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,128,17.5,-150,116,137,-5.5,5.5
11/16 11:24:11 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,124,17.5,-145,116,137,-5.5,5.5
11/16 11:24:08 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,121,17.5,-142,116,137,-5.5,5.5
11/16 11:23:56 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,116,17.5,-136,116,137,-5.5,5.5
11/16 11:23:53 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,111,17.5,-130,116,137,-5.5,5.5
11/16 11:23:50 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,105,17.5,-122,116,137,-5.5,5.5
11/16 11:23:38 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,-17.5,100,17.5,-117,116,137,-5.5,5.5
11/16 11:14:42 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.0,-114,-11.0,-103,116,137,-5.5,5.5
11/16 11:14:38 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.0,-117,-11.0,100,116,137,-5.5,5.5
11/16 11:14:21 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.0,-118,-11.0,101,116,137,-5.5,5.5
11/16 11:14:04 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.5,-111,-11.5,-105,116,137,-5.5,5.5
11/16 11:13:54 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.5,-110,-11.5,-106,116,137,-5.5,5.5
11/16 11:13:41 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,12.0,-133,-12.0,100,116,137,-5.5,5.5
11/16 11:13:29 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,12.0,-136,-12.0,102,116,137,-5.5,5.5
11/16 11:13:23 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,12.0,-116,-12.0,-114,116,137,-5.5,5.5
11/16 11:13:14 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,11.0,-107,-11.0,-124,116,137,-5.5,5.5
11/16 11:13:08 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-114,-10.0,-116,116,137,-5.5,5.5
11/16 11:12:56 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-121,-10.0,-109,116,137,-5.5,5.5
11/16 11:12:47 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-118,-10.0,-112,116,137,-5.5,5.5
11/16 11:12:44 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-114,-10.0,-116,116,137,-5.5,5.5
11/16 11:12:41 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-119,-10.0,-111,116,137,-5.5,5.5
11/16 11:12:35 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,10.0,-117,-10.0,-113,116,137,-5.5,5.5
11/16 11:12:29 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,8.0,-109,-8.0,-122,116,137,-5.5,5.5
11/16 11:12:26 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,7.5,-118,-7.5,-112,116,137,-5.5,5.5
11/16 11:12:20 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,7.0,-118,-7.0,-112,116,137,-5.5,5.5
11/16 11:12:17 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,8.0,-114,-8.0,-116,116,137,-5.5,5.5
11/16 11:12:14 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,8.0,-110,-8.0,-120,116,137,-5.5,5.5
11/16 11:12:11 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,6.5,-102,-6.5,-130,116,137,-5.5,5.5
11/16 11:11:59 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,6.5,-109,-6.5,-122,116,137,-5.5,5.5
11/16 11:11:53 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,6.5,-118,-6.5,-112,116,137,-5.5,5.5
11/16 11:11:29 am,Pinnacle,Washington Wizards,Minnesota Timberwolves,6.0,-109,-6.0,-121,116,137,-5.5,5.5
