Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/13 10:48:30 am,Pinnacle,Washington Wizards,New York Knicks,11.5,-102,-11.5,-114,96,114,-3,3
2/13 10:48:23 am,Pinnacle,Washington Wizards,New York Knicks,11.5,-104,-11.5,-113,96,114,-3,3
2/13 10:48:15 am,Pinnacle,Washington Wizards,New York Knicks,11.5,-105,-11.5,-111,96,114,-3,3
2/13 10:48:06 am,Pinnacle,Washington Wizards,New York Knicks,11.5,-107,-11.5,-109,96,114,-3,3
2/13 10:47:50 am,Pinnacle,Washington Wizards,New York Knicks,11.5,-120,-11.5,103,96,114,-3,3
2/13 10:42:35 am,Pinnacle,Washington Wizards,New York Knicks,7.5,-113,-7.5,-117,96,114,-3,3
2/13 10:42:32 am,Pinnacle,Washington Wizards,New York Knicks,6.5,-115,-6.5,-115,96,114,-3,3
2/13 10:42:09 am,Pinnacle,Washington Wizards,New York Knicks,7.5,-110,-7.5,-120,96,114,-3,3
2/13 10:42:06 am,Pinnacle,Washington Wizards,New York Knicks,8.0,-114,-8.0,-116,96,114,-3,3
2/13 10:41:30 am,Pinnacle,Washington Wizards,New York Knicks,8.0,-111,-8.0,-119,96,114,-3,3
2/13 10:41:17 am,Pinnacle,Washington Wizards,New York Knicks,6.5,-109,-6.5,-122,96,114,-3,3
2/13 10:41:05 am,Pinnacle,Washington Wizards,New York Knicks,5.5,-111,-5.5,-119,96,114,-3,3
2/13 10:41:02 am,Pinnacle,Washington Wizards,New York Knicks,6.5,-109,-6.5,-121,96,114,-3,3
2/13 10:40:51 am,Pinnacle,Washington Wizards,New York Knicks,5.5,-114,-5.5,-116,96,114,-3,3
2/13 10:40:48 am,Pinnacle,Washington Wizards,New York Knicks,5.0,-109,-5.0,-122,96,114,-3,3
2/13 10:40:41 am,Pinnacle,Washington Wizards,New York Knicks,5.0,-113,-5.0,-117,96,114,-3,3
2/13 10:40:33 am,Pinnacle,Washington Wizards,New York Knicks,5.0,-112,-5.0,-118,96,114,-3,3
