Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/26 10:06:40 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.5,-116,1.5,-101,85,97,-1,1
10/26 10:05:34 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.5,-113,1.5,-103,85,97,-1,1
10/26 10:01:42 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.5,-117,1.5,-134,85,97,-1,1
10/26 10:00:36 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.0,-108,1.0,-145,85,97,-1,1
10/26 9:59:30 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.5,-127,-2.5,-123,85,97,-1,1
10/26 9:58:26 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,1.5,-123,-1.5,-127,85,97,-1,1
10/26 9:57:20 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,3.0,-123,-3.0,-128,85,97,-1,1
10/26 9:56:16 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.5,-117,-2.5,-134,85,97,-1,1
10/26 9:55:12 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-133,-2.0,-118,85,97,-1,1
10/26 9:54:07 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-113,-2.0,-104,85,97,-1,1
10/26 9:53:03 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-115,-2.0,-101,85,97,-1,1
10/26 9:51:59 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,1.5,-108,-1.5,-123,85,97,-1,1
10/26 9:50:54 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-120,-2.0,-130,85,97,-1,1
10/26 9:49:50 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,3.5,-123,-3.5,-127,85,97,-1,1
10/26 9:48:44 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,3.0,-105,-3.0,-111,85,97,-1,1
10/26 9:47:38 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,3.0,-107,-3.0,-109,85,97,-1,1
10/26 9:46:33 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,3.5,-125,-3.5,-115,85,97,-1,1
10/26 9:45:27 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.5,-113,-2.5,-128,85,97,-1,1
10/26 9:44:21 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-126,-2.0,-114,85,97,-1,1
10/26 9:43:17 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,4.0,-114,-4.0,-127,85,97,-1,1
10/26 9:42:13 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.5,-103,-2.5,-128,85,97,-1,1
10/26 9:41:07 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-113,-2.0,-127,85,97,-1,1
10/26 9:40:04 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,2.0,-113,-2.0,-128,85,97,-1,1
10/26 9:38:58 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,0.0,-106,0.0,-110,85,97,-1,1
10/26 9:37:54 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,0.0,-108,0.0,-108,85,97,-1,1
10/26 9:35:44 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,1.5,-113,-1.5,-127,85,97,-1,1
10/26 9:34:40 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,1.0,-129,-1.0,-112,85,97,-1,1
10/26 9:33:34 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.0,-122,1.0,-118,85,97,-1,1
10/26 9:32:29 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-4.0,101,4.0,-118,85,97,-1,1
10/26 9:31:24 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-4.0,-101,4.0,-115,85,97,-1,1
10/26 9:30:03 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-4.0,-102,4.0,-114,85,97,-1,1
10/26 9:28:54 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-2.0,-126,2.0,-115,85,97,-1,1
10/26 9:27:40 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,1.0,-114,-1.0,-126,85,97,-1,1
10/26 9:25:59 am,Pinnacle,Washington Wizards,Oklahoma City Thunder,-1.0,-125,1.0,-115,85,97,-1,1
