Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/18 9:10:22 am,Pinnacle,Washington Wizards,Orlando Magic,0.0,-600,0.0,452,125,121,-5.5,5.5
11/18 9:10:15 am,Pinnacle,Washington Wizards,Orlando Magic,0.0,-550,0.0,420,125,121,-5.5,5.5
11/18 8:58:58 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,104,13.0,-121,125,121,-5.5,5.5
11/18 8:58:54 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,102,13.0,-119,125,121,-5.5,5.5
11/18 8:58:49 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,104,13.0,-121,125,121,-5.5,5.5
11/18 8:58:46 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,101,13.0,-118,125,121,-5.5,5.5
11/18 8:58:43 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,100,13.0,-117,125,121,-5.5,5.5
11/18 8:58:37 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,-103,13.0,-114,125,121,-5.5,5.5
11/18 8:58:34 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,-105,13.0,-111,125,121,-5.5,5.5
11/18 8:58:28 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,-108,13.0,-108,125,121,-5.5,5.5
11/18 8:57:37 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-130,11.5,-102,125,121,-5.5,5.5
11/18 8:57:31 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-115,11.5,-115,125,121,-5.5,5.5
11/18 8:57:25 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-117,11.5,-113,125,121,-5.5,5.5
11/18 8:57:16 am,Pinnacle,Washington Wizards,Orlando Magic,-10.5,-119,10.5,-111,125,121,-5.5,5.5
11/18 8:57:13 am,Pinnacle,Washington Wizards,Orlando Magic,-10.5,-113,10.5,-117,125,121,-5.5,5.5
11/18 8:57:06 am,Pinnacle,Washington Wizards,Orlando Magic,-10.5,-105,10.5,-126,125,121,-5.5,5.5
11/18 8:57:01 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-114,9.0,-116,125,121,-5.5,5.5
11/18 8:56:46 am,Pinnacle,Washington Wizards,Orlando Magic,-8.0,-120,8.0,-111,125,121,-5.5,5.5
11/18 8:55:06 am,Pinnacle,Washington Wizards,Orlando Magic,-7.5,-114,7.5,-103,125,121,-5.5,5.5
11/18 8:54:55 am,Pinnacle,Washington Wizards,Orlando Magic,-7.5,-114,7.5,-102,125,121,-5.5,5.5
11/18 8:54:16 am,Pinnacle,Washington Wizards,Orlando Magic,-7.5,-110,7.5,-106,125,121,-5.5,5.5
11/18 8:53:10 am,Pinnacle,Washington Wizards,Orlando Magic,-7.5,-114,7.5,-116,125,121,-5.5,5.5
11/18 8:52:43 am,Pinnacle,Washington Wizards,Orlando Magic,-6.5,-151,6.5,113,125,121,-5.5,5.5
11/18 8:52:31 am,Pinnacle,Washington Wizards,Orlando Magic,-6.5,-126,6.5,-105,125,121,-5.5,5.5
11/18 8:52:29 am,Pinnacle,Washington Wizards,Orlando Magic,-6.5,-125,6.5,-106,125,121,-5.5,5.5
11/18 8:52:19 am,Pinnacle,Washington Wizards,Orlando Magic,-8.0,-118,8.0,-112,125,121,-5.5,5.5
11/18 8:52:13 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,107,9.0,-141,125,121,-5.5,5.5
11/18 8:52:10 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,108,9.0,-143,125,121,-5.5,5.5
11/18 8:51:40 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-108,9.0,-122,125,121,-5.5,5.5
11/18 8:51:28 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-115,9.0,-115,125,121,-5.5,5.5
11/18 8:51:24 am,Pinnacle,Washington Wizards,Orlando Magic,-8.5,-124,8.5,-106,125,121,-5.5,5.5
11/18 8:50:37 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-108,9.0,-108,125,121,-5.5,5.5
11/18 8:50:19 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-115,9.0,-102,125,121,-5.5,5.5
11/18 8:49:49 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-114,9.0,-103,125,121,-5.5,5.5
11/18 8:49:36 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-113,9.0,-103,125,121,-5.5,5.5
11/18 8:49:31 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-114,9.0,-103,125,121,-5.5,5.5
11/18 8:49:23 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-113,9.0,-104,125,121,-5.5,5.5
11/18 8:49:02 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-111,9.0,-105,125,121,-5.5,5.5
11/18 8:48:52 am,Pinnacle,Washington Wizards,Orlando Magic,-9.0,-110,9.0,-106,125,121,-5.5,5.5
11/18 8:48:32 am,Pinnacle,Washington Wizards,Orlando Magic,-8.5,-125,8.5,-106,125,121,-5.5,5.5
11/18 8:48:28 am,Pinnacle,Washington Wizards,Orlando Magic,-10.5,-110,10.5,-120,125,121,-5.5,5.5
11/18 8:48:22 am,Pinnacle,Washington Wizards,Orlando Magic,-10.5,-109,10.5,-121,125,121,-5.5,5.5
11/18 8:48:19 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,104,11.5,-137,125,121,-5.5,5.5
11/18 8:48:16 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,102,11.5,-135,125,121,-5.5,5.5
11/18 8:48:10 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-116,11.5,-114,125,121,-5.5,5.5
11/18 8:48:04 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-117,11.5,-113,125,121,-5.5,5.5
11/18 8:47:58 am,Pinnacle,Washington Wizards,Orlando Magic,-12.0,-121,12.0,-110,125,121,-5.5,5.5
11/18 8:47:49 am,Pinnacle,Washington Wizards,Orlando Magic,-12.0,-124,12.0,-107,125,121,-5.5,5.5
11/18 8:47:40 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-118,11.5,-112,125,121,-5.5,5.5
11/18 8:47:34 am,Pinnacle,Washington Wizards,Orlando Magic,-11.5,-119,11.5,-111,125,121,-5.5,5.5
11/18 8:47:31 am,Pinnacle,Washington Wizards,Orlando Magic,-11.0,-118,11.0,-112,125,121,-5.5,5.5
11/18 8:47:28 am,Pinnacle,Washington Wizards,Orlando Magic,-13.0,-118,13.0,-112,125,121,-5.5,5.5
11/18 8:47:24 am,Pinnacle,Washington Wizards,Orlando Magic,-13.5,-118,13.5,-112,125,121,-5.5,5.5
11/18 8:47:22 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,100,14.0,-133,125,121,-5.5,5.5
11/18 8:47:19 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-102,14.0,-130,125,121,-5.5,5.5
11/18 8:47:10 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-116,14.0,-114,125,121,-5.5,5.5
11/18 8:47:07 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-118,14.0,-112,125,121,-5.5,5.5
11/18 8:46:58 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-119,14.0,-111,125,121,-5.5,5.5
11/18 8:46:55 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-116,15.5,-114,125,121,-5.5,5.5
11/18 8:46:52 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-117,15.5,-113,125,121,-5.5,5.5
11/18 8:46:48 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-120,15.5,-110,125,121,-5.5,5.5
11/18 8:46:46 am,Pinnacle,Washington Wizards,Orlando Magic,-16.0,-122,16.0,-109,125,121,-5.5,5.5
11/18 8:46:43 am,Pinnacle,Washington Wizards,Orlando Magic,-16.5,-100,16.5,-132,125,121,-5.5,5.5
11/18 8:46:39 am,Pinnacle,Washington Wizards,Orlando Magic,-16.5,-122,16.5,-109,125,121,-5.5,5.5
11/18 8:46:31 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-131,15.5,-101,125,121,-5.5,5.5
11/18 8:46:27 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-115,15.5,-115,125,121,-5.5,5.5
11/18 8:46:25 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-122,15.5,-108,125,121,-5.5,5.5
11/18 8:46:22 am,Pinnacle,Washington Wizards,Orlando Magic,-15.5,-123,15.5,-108,125,121,-5.5,5.5
11/18 8:46:19 am,Pinnacle,Washington Wizards,Orlando Magic,-16.0,-113,16.0,-117,125,121,-5.5,5.5
11/18 8:46:09 am,Pinnacle,Washington Wizards,Orlando Magic,-15.0,-110,15.0,-120,125,121,-5.5,5.5
11/18 8:46:01 am,Pinnacle,Washington Wizards,Orlando Magic,-15.0,-113,15.0,-117,125,121,-5.5,5.5
11/18 8:45:58 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-122,14.0,-108,125,121,-5.5,5.5
11/18 8:45:52 am,Pinnacle,Washington Wizards,Orlando Magic,-14.0,-112,14.0,-118,125,121,-5.5,5.5
