Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/18 10:13:51 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-114,26.5,-102,140,111,-10.5,10.5
1/18 10:13:48 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-115,26.5,-102,140,111,-10.5,10.5
1/18 10:13:37 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-116,26.5,-101,140,111,-10.5,10.5
1/18 10:12:54 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-119,26.5,102,140,111,-10.5,10.5
1/18 10:12:51 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-112,26.5,-105,140,111,-10.5,10.5
1/18 10:12:33 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-113,26.5,-103,140,111,-10.5,10.5
1/18 10:12:23 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.5,-117,26.5,100,140,111,-10.5,10.5
1/18 10:10:21 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.0,-110,26.0,-120,140,111,-10.5,10.5
1/18 10:10:12 am,Pinnacle,Washington Wizards,Toronto Raptors,-26.0,-110,26.0,-120,140,111,-10.5,10.5
1/18 10:10:00 am,Pinnacle,Washington Wizards,Toronto Raptors,-24.5,-124,24.5,-107,140,111,-10.5,10.5
1/18 10:09:51 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-119,23.0,-111,140,111,-10.5,10.5
1/18 10:09:03 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-123,22.5,105,140,111,-10.5,10.5
1/18 10:08:30 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-124,22.5,106,140,111,-10.5,10.5
1/18 10:08:27 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-125,22.5,107,140,111,-10.5,10.5
1/18 10:08:20 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-116,22.5,-100,140,111,-10.5,10.5
1/18 10:07:54 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-113,22.5,-103,140,111,-10.5,10.5
1/18 10:07:47 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-112,22.5,-104,140,111,-10.5,10.5
1/18 10:07:27 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.5,-116,22.5,-100,140,111,-10.5,10.5
1/18 10:06:50 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-119,23.0,-111,140,111,-10.5,10.5
1/18 10:06:36 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-112,23.0,-118,140,111,-10.5,10.5
1/18 10:06:33 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-115,22.0,-115,140,111,-10.5,10.5
1/18 10:06:27 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-109,22.0,-122,140,111,-10.5,10.5
1/18 10:06:03 am,Pinnacle,Washington Wizards,Toronto Raptors,-20.5,-109,20.5,-121,140,111,-10.5,10.5
1/18 10:06:00 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-109,22.0,-122,140,111,-10.5,10.5
1/18 10:05:57 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-112,23.0,-118,140,111,-10.5,10.5
1/18 10:05:51 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-117,23.0,-113,140,111,-10.5,10.5
1/18 10:05:47 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-113,22.0,-117,140,111,-10.5,10.5
1/18 10:05:45 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-113,23.0,-117,140,111,-10.5,10.5
1/18 10:05:39 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-117,23.0,-114,140,111,-10.5,10.5
1/18 10:05:15 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-116,23.0,-114,140,111,-10.5,10.5
1/18 10:05:09 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-116,23.0,-114,140,111,-10.5,10.5
1/18 10:05:00 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-111,23.0,-119,140,111,-10.5,10.5
1/18 10:04:54 am,Pinnacle,Washington Wizards,Toronto Raptors,-23.0,-112,23.0,-118,140,111,-10.5,10.5
1/18 10:04:48 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-114,22.0,-116,140,111,-10.5,10.5
1/18 10:04:42 am,Pinnacle,Washington Wizards,Toronto Raptors,-22.0,-108,22.0,-122,140,111,-10.5,10.5
1/18 10:04:27 am,Pinnacle,Washington Wizards,Toronto Raptors,-21.5,-121,21.5,-110,140,111,-10.5,10.5
1/18 10:04:24 am,Pinnacle,Washington Wizards,Toronto Raptors,-21.5,-110,21.5,-120,140,111,-10.5,10.5
1/18 10:03:57 am,Pinnacle,Washington Wizards,Toronto Raptors,-21.0,-112,21.0,-118,140,111,-10.5,10.5
