Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/29 12:22:44 pm,RedZone,Washington Wizards,Utah Jazz,-10.5,123,10.5,-155,129,119,-10.5,10.5
2/29 12:22:41 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-148,11.5,118,129,119,-10.5,10.5
2/29 12:22:30 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,137,12.5,-174,129,119,-10.5,10.5
2/29 12:20:44 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,-115,13.5,-108,129,119,-10.5,10.5
2/29 12:20:30 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,-121,13.5,-103,129,119,-10.5,10.5
2/29 12:20:21 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,-129,13.5,104,129,119,-10.5,10.5
2/29 12:20:18 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,107,13.5,-134,129,119,-10.5,10.5
2/29 12:19:57 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-159,12.5,126,129,119,-10.5,10.5
2/29 12:19:40 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,104,11.5,-129,129,119,-10.5,10.5
2/29 12:19:17 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-106,11.5,-117,129,119,-10.5,10.5
2/29 12:19:05 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-129,11.5,104,129,119,-10.5,10.5
2/29 12:18:34 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-115,12.5,-108,129,119,-10.5,10.5
2/29 12:18:06 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-108,12.5,-115,129,119,-10.5,10.5
2/29 12:17:46 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,109,12.5,-137,129,119,-10.5,10.5
2/29 12:17:18 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-103,11.5,-121,129,119,-10.5,10.5
2/29 12:16:56 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-112,12.5,-112,129,119,-10.5,10.5
2/29 12:16:36 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-106,11.5,-117,129,119,-10.5,10.5
2/29 12:16:15 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-112,11.5,-112,129,119,-10.5,10.5
2/29 12:16:07 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-125,11.5,101,129,119,-10.5,10.5
2/29 12:15:51 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-112,12.5,-112,129,119,-10.5,10.5
2/29 12:15:28 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,107,13.5,-134,129,119,-10.5,10.5
2/29 12:15:14 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-112,12.5,-112,129,119,-10.5,10.5
2/29 12:15:07 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-108,11.5,-115,129,119,-10.5,10.5
2/29 12:14:40 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-106,11.5,-117,129,119,-10.5,10.5
2/29 12:14:34 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-103,12.5,-121,129,119,-10.5,10.5
2/29 12:14:11 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-115,11.5,-108,129,119,-10.5,10.5
2/29 12:13:50 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,104,11.5,-129,129,119,-10.5,10.5
2/29 12:13:38 pm,RedZone,Washington Wizards,Utah Jazz,-10.5,-129,10.5,104,129,119,-10.5,10.5
2/29 12:13:17 pm,RedZone,Washington Wizards,Utah Jazz,-10.5,-115,10.5,-108,129,119,-10.5,10.5
2/29 12:12:37 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,-125,9.5,101,129,119,-10.5,10.5
2/29 12:12:30 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,-103,9.5,-121,129,119,-10.5,10.5
2/29 12:12:15 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,101,7.5,-125,129,119,-10.5,10.5
2/29 12:12:04 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,104,7.5,-129,129,119,-10.5,10.5
2/29 12:11:30 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-108,7.5,-115,129,119,-10.5,10.5
2/29 12:11:06 pm,RedZone,Washington Wizards,Utah Jazz,-8.5,-108,8.5,-115,129,119,-10.5,10.5
2/29 12:10:54 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,101,9.5,-125,129,119,-10.5,10.5
2/29 12:10:44 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,104,7.5,-129,129,119,-10.5,10.5
2/29 12:10:36 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,101,7.5,-125,129,119,-10.5,10.5
2/29 12:10:26 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-129,7.5,110,129,119,-10.5,10.5
2/29 12:10:25 pm,RedZone,Washington Wizards,Utah Jazz,-5.5,-125,5.5,101,129,119,-10.5,10.5
2/29 12:10:23 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-131,7.5,112,129,119,-10.5,10.5
2/29 12:10:14 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-129,7.5,110,129,119,-10.5,10.5
2/29 12:10:07 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-111,7.5,-105,129,119,-10.5,10.5
2/29 12:09:49 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,101,7.5,-125,129,119,-10.5,10.5
2/29 12:09:47 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-108,7.5,-108,129,119,-10.5,10.5
2/29 12:08:33 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-108,7.5,-115,129,119,-10.5,10.5
2/29 12:08:23 pm,RedZone,Washington Wizards,Utah Jazz,-5.5,-112,5.5,-112,129,119,-10.5,10.5
2/29 12:08:10 pm,RedZone,Washington Wizards,Utah Jazz,-5.5,-108,5.5,-115,129,119,-10.5,10.5
2/29 12:08:01 pm,RedZone,Washington Wizards,Utah Jazz,-6.5,-112,6.5,-112,129,119,-10.5,10.5
2/29 12:07:57 pm,RedZone,Washington Wizards,Utah Jazz,-4.5,-117,4.5,-106,129,119,-10.5,10.5
2/29 12:07:41 pm,RedZone,Washington Wizards,Utah Jazz,-6.5,-112,6.5,-112,129,119,-10.5,10.5
2/29 12:07:27 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-106,7.5,-117,129,119,-10.5,10.5
2/29 12:07:10 pm,RedZone,Washington Wizards,Utah Jazz,-6.5,-115,6.5,-108,129,119,-10.5,10.5
2/29 12:06:45 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-108,7.5,-115,129,119,-10.5,10.5
2/29 12:06:16 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,101,7.5,-125,129,119,-10.5,10.5
2/29 12:06:06 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-103,7.5,-121,129,119,-10.5,10.5
2/29 12:05:59 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:53 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:48 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-117,7.5,-106,129,119,-10.5,10.5
2/29 12:05:38 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-115,7.5,-108,129,119,-10.5,10.5
2/29 12:05:23 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:11 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:07 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:05 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:05:00 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-108,7.5,-115,129,119,-10.5,10.5
2/29 12:04:59 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-109,8.0,-107,129,119,-10.5,10.5
2/29 12:04:46 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-108,8.0,-108,129,119,-10.5,10.5
2/29 12:04:46 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-103,7.5,-121,129,119,-10.5,10.5
2/29 12:04:44 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-104,8.0,-112,129,119,-10.5,10.5
2/29 12:04:41 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-102,8.0,-114,129,119,-10.5,10.5
2/29 12:04:32 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-102,8.0,-114,129,119,-10.5,10.5
2/29 12:04:26 pm,Pinnacle,Washington Wizards,Utah Jazz,-8.0,-102,8.0,-115,129,119,-10.5,10.5
2/29 12:04:23 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-110,7.5,-106,129,119,-10.5,10.5
2/29 12:04:20 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-111,7.5,-106,129,119,-10.5,10.5
2/29 12:04:15 pm,Pinnacle,Washington Wizards,Utah Jazz,-7.5,-110,7.5,-106,129,119,-10.5,10.5
2/29 12:03:40 pm,RedZone,Washington Wizards,Utah Jazz,-7.5,-130,7.5,104,129,119,-10.5,10.5
2/29 12:03:36 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,-108,9.5,-115,129,119,-10.5,10.5
2/29 12:03:12 pm,RedZone,Washington Wizards,Utah Jazz,-8.5,-130,8.5,104,129,119,-10.5,10.5
2/29 12:02:49 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,-122,9.5,-102,129,119,-10.5,10.5
2/29 12:02:22 pm,RedZone,Washington Wizards,Utah Jazz,-9.5,-118,9.5,-105,129,119,-10.5,10.5
2/29 12:02:08 pm,RedZone,Washington Wizards,Utah Jazz,-11.5,-105,11.5,-118,129,119,-10.5,10.5
2/29 12:01:45 pm,RedZone,Washington Wizards,Utah Jazz,-12.5,-105,12.5,-118,129,119,-10.5,10.5
2/29 12:01:34 pm,RedZone,Washington Wizards,Utah Jazz,-14.5,101,14.5,-126,129,119,-10.5,10.5
2/29 12:00:39 pm,RedZone,Washington Wizards,Utah Jazz,-13.5,-105,13.5,-118,129,119,-10.5,10.5
2/29 12:00:33 pm,RedZone,Washington Wizards,Utah Jazz,-14.5,101,14.5,-126,129,119,-10.5,10.5
2/29 12:00:20 pm,RedZone,Washington Wizards,Utah Jazz,-14.5,-126,14.5,101,129,119,-10.5,10.5
2/29 12:02:36 pm,RedZone,Washington Wizards,Utah Jazz,-10.5,101,10.5,-126,129,119,-10.5,10.5
2/29 11:59:48 am,RedZone,Washington Wizards,Utah Jazz,-14.5,101,14.5,-126,129,119,-10.5,10.5
2/29 11:59:38 am,RedZone,Washington Wizards,Utah Jazz,-13.5,-108,13.5,-115,129,119,-10.5,10.5
2/29 11:59:06 am,RedZone,Washington Wizards,Utah Jazz,-14.5,101,14.5,-126,129,119,-10.5,10.5
2/29 11:59:02 am,RedZone,Washington Wizards,Utah Jazz,-13.5,-118,13.5,-105,129,119,-10.5,10.5
2/29 11:58:49 am,RedZone,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-118,129,119,-10.5,10.5
2/29 11:58:36 am,RedZone,Washington Wizards,Utah Jazz,-14.5,101,14.5,-126,129,119,-10.5,10.5
2/29 11:58:00 am,RedZone,Washington Wizards,Utah Jazz,-13.5,-118,13.5,-105,129,119,-10.5,10.5
2/29 11:56:58 am,RedZone,Washington Wizards,Utah Jazz,-14.5,-112,14.5,-112,129,119,-10.5,10.5
2/29 11:56:44 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-112,129,119,-10.5,10.5
2/29 11:56:38 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-104,14.5,-112,129,119,-10.5,10.5
2/29 11:56:32 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-112,129,119,-10.5,10.5
2/29 11:56:29 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-111,129,119,-10.5,10.5
2/29 11:56:07 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-106,14.5,-110,129,119,-10.5,10.5
2/29 11:56:05 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-106,14.5,-110,129,119,-10.5,10.5
2/29 11:55:58 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-111,129,119,-10.5,10.5
2/29 11:55:50 am,Pinnacle,Washington Wizards,Utah Jazz,-14.5,-105,14.5,-111,129,119,-10.5,10.5
2/29 11:55:35 am,Pinnacle,Washington Wizards,Utah Jazz,-14.0,-110,14.0,-106,129,119,-10.5,10.5
2/29 11:55:17 am,Pinnacle,Washington Wizards,Utah Jazz,-14.0,-110,14.0,-106,129,119,-10.5,10.5
2/29 11:54:57 am,RedZone,Washington Wizards,Utah Jazz,-14.5,-118,14.5,-105,129,119,-10.5,10.5
2/29 11:54:42 am,RedZone,Washington Wizards,Utah Jazz,-13.5,101,13.5,-126,129,119,-10.5,10.5
2/29 11:53:56 am,RedZone,Washington Wizards,Utah Jazz,-12.5,-105,12.5,-118,129,119,-10.5,10.5
2/29 11:53:41 am,RedZone,Washington Wizards,Utah Jazz,-13.5,-105,13.5,-118,129,119,-10.5,10.5
2/29 11:53:30 am,RedZone,Washington Wizards,Utah Jazz,-12.5,-105,12.5,-118,129,119,-10.5,10.5
2/29 11:53:23 am,RedZone,Washington Wizards,Utah Jazz,-11.5,-118,11.5,-105,129,119,-10.5,10.5
